PLAYER,birdie conversion
Jason Day,36.76
Jordan Spieth,35.51
Dustin Johnson,34.72
J.B. Holmes,34.64
Bubba Watson,34.38
Phil Mickelson,34.33
Justin Rose,34.25
Justin Thomas,33.61
Matt Jones,33.57
Jimmy Walker,33.43
Tony Finau,33.26
Chesson Hadley,32.64
Charley Hoffman,32.62
Rickie Fowler,32.54
Steve Wheatcroft,32.43
Hideki Matsuyama,32.41
Patrick Reed,32.34
Matt Kuchar,32.2
Danny Lee,32.16
Kevin Na,32.12
Morgan Hoffmann,32.08
Brendan Steele,32.04
Patrick Rodgers,32.03
Ryan Moore,31.76
Tom Hoge,31.63
Hudson Swafford,31.62
Aaron Baddeley,31.52
Jerry Kelly,31.45
Brooks Koepka,31.42
Andrew Putnam,31.4
Keegan Bradley,31.34
Steven Bowditch,31.31
Russell Henley,31.29
Chris Kirk,31.28
Carlos Ortiz,31.25
Kevin Chappell,31.21
Daniel Summerhays,31.18
Pat Perez,31.14
Carl Pettersson,31.14
Brandt Snedeker,31.14
Jason Bohn,31.09
Sergio Garcia,31.08
Zach Johnson,31.06
Robert Streb,30.99
Sangmoon Bae,30.98
Shawn Stefani,30.98
Camilo Villegas,30.96
Nick Taylor,30.93
Scott Piercy,30.9
Jason Gore,30.89
Luke Guthrie,30.81
Ryo Ishikawa,30.78
Rory Sabbatini,30.74
Seung-Yul Noh,30.73
Henrik Stenson,30.73
Brendon Todd,30.71
Billy Horschel,30.69
Jonas Blixt,30.66
Louis Oosthuizen,30.66
Sean O'Hair,30.65
Ian Poulter,30.6
Chris Stroud,30.54
Ryan Palmer,30.48
Greg Chalmers,30.47
Erik Compton,30.46
David Lingmerth,30.45
Blayne Barber,30.43
Lee Westwood,30.42
Ricky Barnes,30.41
Jason Kokrak,30.39
Fabian Gomez,30.38
Ben Martin,30.33
Scott Brown,30.24
Nick Watney,30.18
Brendon de Jonge,30.17
Charl Schwartzel,30.16
George McNeill,30.09
Adam Scott,30.05
Andres Romero,30.04
Michael Thompson,30.04
Harris English,30
Charlie Beljan,29.99
John Senden,29.99
Daniel Berger,29.97
Andres Gonzales,29.87
Martin Laird,29.77
Marc Leishman,29.73
Will Wilcox,29.73
Scott Stallings,29.71
Oscar Fraustro,29.69
Colt Knost,29.65
Paul Casey,29.61
James Hahn,29.54
Retief Goosen,29.5
Brian Harman,29.49
Roger Sloan,29.49
Derek Fathauer,29.43
Angel Cabrera,29.4
Padraig Harrington,29.38
Bryce Molder,29.33
Whee Kim,29.31
Boo Weekley,29.27
Max Homa,29.24
Webb Simpson,29.23
K.J. Choi,29.21
Graham DeLaet,29.21
Hunter Mahan,29.21
Robert Garrigus,29.16
David Hearn,29.11
Scott Langley,29.03
Cameron Tringale,29.02
Ken Duke,28.98
Bo Van Pelt,28.98
Alex Cejka,28.97
Cameron Percy,28.96
Scott Pinckney,28.96
Sam Saunders,28.81
Kyle Reifers,28.79
Jonathan Byrd,28.72
Nicholas Thompson,28.71
Jhonattan Vegas,28.68
John Merrick,28.67
Jeff Overton,28.66
Gary Woodland,28.6
Ernie Els,28.59
Andrew Svoboda,28.57
Chez Reavie,28.53
Mark Hubbard,28.46
John Huh,28.43
Brian Stuard,28.36
Vijay Singh,28.34
Jason Dufner,28.32
Jonathan Randolph,28.31
Adam Hadwin,28.3
Kevin Streelman,28.26
Kevin Kisner,28.19
Russell Knox,28.13
Johnson Wagner,28
Brian Davis,27.98
Jamie Donaldson,27.93
Alex Prugh,27.9
Jim Furyk,27.86
Gonzalo Fdez-Castano,27.83
Steven Alker,27.79
Stewart Cink,27.79
Zac Blair,27.76
Lucas Glover,27.73
Matt Every,27.71
Chad Collins,27.61
Troy Merritt,27.61
Heath Slocum,27.55
Mark Wilson,27.48
Geoff Ogilvy,27.4
William McGirt,27.37
Eric Axley,27.36
Jon Curran,27.33
Chad Campbell,27.32
D.A. Points,27.1
Tyrone Van Aswegen,27.01
Ben Crane,26.97
Derek Ernst,26.97
Charles Howell III,26.97
Martin Flores,26.91
Bill Haas,26.79
Brice Garnett,26.78
Jim Herman,26.68
David Toms,26.6
Byron Smith,26.47
Justin Leonard,26.46
Michael Putnam,26.31
Luke Donald,26.16
Roberto Castro,26.14
Spencer Levin,26.05
John Peterson,25.97
Tim Wilkinson,25.91
Greg Owen,25.59
Billy Hurley III,25.3
Davis Love III,24.88
Bill Lunde,24.87
Francesco Molinari,24.85
Robert Allenby,24.58
S.J. Park,24.44
J.J. Henry,24.09
Jim Renner,22.58
