PLAYER,PAR 5
Bubba Watson,4.52
J.B. Holmes,4.55
Matt Kuchar,4.56
Charley Hoffman,4.57
Dustin Johnson,4.58
Phil Mickelson,4.58
Steve Stricker,4.58
Stewart Cink,4.59
Tom Gillis,4.59
Bill Haas,4.59
D.J. Trahan,4.59
Retief Goosen,4.6
Charles Howell III,4.6
Davis Love III,4.6
Matt Bettencourt,4.61
Jonathan Byrd,4.61
Matt Jones,4.61
Vijay Singh,4.61
Bo Van Pelt,4.61
Robert Allenby,4.62
J.J. Henry,4.62
John Merrick,4.62
Webb Simpson,4.62
Kevin Stadler,4.62
Vaughn Taylor,4.62
James Driscoll,4.63
Steve Elkington,4.63
Ernie Els,4.63
Lucas Glover,4.63
Martin Laird,4.63
Ryan Moore,4.63
Justin Rose,4.63
Paul Stankowski,4.63
Kevin Sutherland,4.63
Woody Austin,4.64
Briny Baird,4.64
Paul Casey,4.64
Garth Mulroy,4.64
James Nitties,4.64
K.J. Choi,4.65
Brendon de Jonge,4.65
Graham DeLaet,4.65
Padraig Harrington,4.65
Michael Letzig,4.65
Joe Ogilvie,4.65
Aron Price,4.65
Brandt Snedeker,4.65
Cameron Tringale,4.65
Nick Watney,4.65
Brett Wetterich,4.65
Chad Collins,4.66
Martin Flores,4.66
Sergio Garcia,4.66
Jarrod Lyle,4.66
Will MacKenzie,4.66
Hunter Mahan,4.66
Kevin Na,4.66
Tom Pernice Jr.,4.66
Alex Prugh,4.66
Brett Quigley,4.66
John Rollins,4.66
Chris Stroud,4.66
Angel Cabrera,4.67
Daniel Chopra,4.67
Chris Couch,4.67
Ben Crane,4.67
Joe Durant,4.67
Matt Every,4.67
J.P. Hayes,4.67
Jerry Kelly,4.67
Marc Leishman,4.67
Geoff Ogilvy,4.67
Rod Pampling,4.67
Scott Piercy,4.67
Adam Scott,4.67
Kevin Streelman,4.67
Jason Day,4.68
Ryuji Imada,4.68
Spencer Levin,4.68
Troy Merritt,4.68
Rory Sabbatini,4.68
John Senden,4.68
Aaron Baddeley,4.69
Jason Bohn,4.69
Greg Chalmers,4.69
Jason Dufner,4.69
Rickie Fowler,4.69
Mathew Goggin,4.69
Tim Herron,4.69
Richard Johnson,4.69
John Mallinger,4.69
Scott McCarron,4.69
D.A. Points,4.69
Chris Tidland,4.69
Charles Warren,4.69
Henrik Bjornstad,4.7
Michael Connell,4.7
John Daly,4.7
Steve Flesch,4.7
Jim Furyk,4.7
Troy Matteson,4.7
Cameron Percy,4.7
Josh Teater,4.7
Roland Thatcher,4.7
Boo Weekley,4.7
Charlie Wi,4.7
Stuart Appleby,4.71
Kris Blanks,4.71
Mark Calcavecchia,4.71
Tim Clark,4.71
Luke Donald,4.71
Robert Garrigus,4.71
Trevor Immelman,4.71
Lee Janzen,4.71
Zach Johnson,4.71
Justin Leonard,4.71
George McNeill,4.71
Tim Petrovic,4.71
Ted Purdy,4.71
Chris Riley,4.71
Garrett Willis,4.71
Mark Wilson,4.71
Y.E. Yang,4.71
Brian Gay,4.72
Derek Lamely,4.72
Sean O'Hair,4.72
Jeff Overton,4.72
Ryan Palmer,4.72
Pat Perez,4.72
Heath Slocum,4.72
Nicholas Thompson,4.72
David Toms,4.72
Camilo Villegas,4.72
Dean Wilson,4.72
Blake Adams,4.73
Ricky Barnes,4.73
Michael Bradley,4.73
Ben Curtis,4.73
Brian Davis,4.73
Bob Estes,4.73
Steve Marino,4.73
Scott Verplank,4.73
Johnson Wagner,4.73
Stephen Ames,4.74
Chris DiMarco,4.74
Skip Kendall,4.74
Bill Lunde,4.74
Jeff Maggert,4.74
Billy Mayfair,4.74
Rocco Mediate,4.74
Bryce Molder,4.74
Kenny Perry,4.74
Jeff Quinney,4.74
Andres Romero,4.74
Jay Williamson,4.74
Paul Goydos,4.75
Jeev Milkha Singh,4.75
Jimmy Walker,4.75
Mike Weir,4.75
Alex Cejka,4.76
Freddie Jacobson,4.76
Brenden Pappas,4.76
Ian Poulter,4.76
Michael Sim,4.76
Omar Uresti,4.76
Steve Wheatcroft,4.76
Cameron Beckman,4.77
Chad Campbell,4.77
Cliff Kresge,4.77
David Lutterus,4.77
Greg Owen,4.77
Rory McIlroy,4.78
Carl Pettersson,4.78
Brian Stuard,4.78
Rich Barcelo,4.79
Brad Faxon,4.79
Steve Lowery,4.79
Shaun Micheel,4.79
Roger Tambellini,4.79
Chris Wilson,4.79
Brent Delahoussaye,4.8
Nathan Green,4.8
Mathias Gronberg,4.8
Andrew McLardy,4.81
Jeff Gove,4.82
Jerod Turner,4.82
Justin Bolli,4.83
David Duval,4.83
Greg Kraft,4.83
Vance Veazey,4.83
Kevin Johnson,4.87
Craig Bowden,4.88
