PLAYER,BOUNCE BACK
Charley Hoffman,27.78
Aaron Baddeley,27.72
Sergio Garcia,26.79
Steve Marino,26.75
Robert Garrigus,25.46
John Daly,25
Padraig Harrington,25
Aron Price,25
Paul Stankowski,25
Charles Warren,25
D.J. Trahan,24.9
J.B. Holmes,24.63
Tom Gillis,24.53
Cameron Percy,24.52
Woody Austin,24.5
James Nitties,24.23
Jonathan Byrd,24.14
Garth Mulroy,23.9
Brandt Snedeker,23.83
Ben Crane,23.81
Mark Calcavecchia,23.56
Chris DiMarco,23.53
Will MacKenzie,23.53
John Merrick,23.43
Jason Day,23.18
Joe Ogilvie,23.16
Michael Letzig,23.08
Vijay Singh,23.08
Jeff Quinney,22.98
Stewart Cink,22.94
Matt Jones,22.91
Kevin Sutherland,22.91
Chris Stroud,22.86
Bubba Watson,22.75
Chad Campbell,22.73
John Rollins,22.67
Garrett Willis,22.67
Graham DeLaet,22.61
Angel Cabrera,22.56
Jim Furyk,22.54
Steve Wheatcroft,22.54
Lucas Glover,22.52
Nicholas Thompson,22.46
David Duval,22.44
Scott Piercy,22.44
Lee Janzen,22.43
Andrew McLardy,22.36
Chris Couch,22.35
Jeff Gove,22.35
Spencer Levin,22.35
Ryan Moore,22.33
Davis Love III,22.32
Dean Wilson,22.32
Steve Flesch,22.31
Tim Petrovic,22.3
Justin Rose,22.28
Jimmy Walker,22.27
Billy Mayfair,22.22
Brett Quigley,22.22
J.J. Henry,22.17
Jerry Kelly,22.14
Brian Stuard,22.04
James Driscoll,22.01
Matt Every,21.98
Adam Scott,21.94
Troy Matteson,21.92
Greg Chalmers,21.8
Zach Johnson,21.79
Jeff Maggert,21.76
Joe Durant,21.74
Robert Allenby,21.67
Matt Kuchar,21.67
Jeff Overton,21.61
Charles Howell III,21.56
Martin Flores,21.43
Dustin Johnson,21.37
John Senden,21.37
Steve Elkington,21.33
George McNeill,21.25
Jay Williamson,21.08
Webb Simpson,21.01
Matt Bettencourt,20.98
Nick Watney,20.94
Kevin Na,20.91
Martin Laird,20.88
Bill Lunde,20.81
Ryuji Imada,20.78
Roger Tambellini,20.7
Tom Pernice Jr.,20.69
Retief Goosen,20.63
Chris Riley,20.63
Daniel Chopra,20.6
Ted Purdy,20.56
Justin Leonard,20.53
Henrik Bjornstad,20.44
Brett Wetterich,20.41
Nathan Green,20.4
Cameron Tringale,20.38
Scott McCarron,20.35
Y.E. Yang,20.2
Rory Sabbatini,20.18
Michael Connell,20.17
Kris Blanks,20.16
Carl Pettersson,20.16
Brian Davis,20.14
Blake Adams,20.09
Chris Tidland,20.09
Boo Weekley,20.09
Ricky Barnes,20
Chad Collins,20
Rickie Fowler,20
Andres Romero,20
David Toms,20
Bo Van Pelt,20
Alex Cejka,19.92
Brendon de Jonge,19.86
J.P. Hayes,19.81
Stuart Appleby,19.8
Jason Dufner,19.77
Johnson Wagner,19.75
Phil Mickelson,19.7
Alex Prugh,19.67
Rod Pampling,19.63
Jarrod Lyle,19.61
Kevin Streelman,19.59
Pat Perez,19.53
K.J. Choi,19.5
Freddie Jacobson,19.49
Kevin Stadler,19.4
Vaughn Taylor,19.3
Kevin Johnson,19.25
Cliff Kresge,19.12
Ernie Els,19.08
Geoff Ogilvy,19.08
Derek Lamely,19.05
Tim Herron,18.98
Heath Slocum,18.94
Briny Baird,18.84
Vance Veazey,18.75
Paul Casey,18.66
Bob Estes,18.63
Michael Bradley,18.56
Sean O'Hair,18.54
Jeev Milkha Singh,18.44
Jason Bohn,18.41
Tim Clark,18.32
Marc Leishman,18.29
Brian Gay,18.14
Mark Wilson,18.09
Shaun Micheel,18.08
Brad Faxon,18.06
Paul Goydos,17.99
Ryan Palmer,17.89
D.A. Points,17.81
Steve Stricker,17.72
Ben Curtis,17.65
Trevor Immelman,17.61
Luke Donald,17.53
Cameron Beckman,17.46
Brenden Pappas,17.46
Hunter Mahan,17.39
Mathew Goggin,17.37
Rich Barcelo,17.27
Ian Poulter,17.27
Josh Teater,17.09
Bill Haas,17.04
Richard Johnson,17.04
Stephen Ames,17.01
Rory McIlroy,16.89
Michael Sim,16.77
Justin Bolli,16.67
Greg Owen,16.59
Camilo Villegas,16.5
David Lutterus,16.29
Troy Merritt,16.29
John Mallinger,16.27
Jerod Turner,16.15
Omar Uresti,16.11
Bryce Molder,15.81
Charlie Wi,15.67
Scott Verplank,15.61
Rocco Mediate,15.53
Mathias Gronberg,15.17
Kenny Perry,14.92
Brent Delahoussaye,14.88
Steve Lowery,14.81
Roland Thatcher,14.49
Chris Wilson,14.08
Mike Weir,13.74
Greg Kraft,13.59
Craig Bowden,11.63
Skip Kendall,11.24
