PLAYER,SAND SAVE PERCENTAGE
Jonas Blixt,65.44
Greg Chalmers,65.24
Jim Furyk,65.15
Justin Rose,62.81
Brian Gay,62.32
Bud Cauley,60.84
Martin Flores,60.15
Matt Kuchar,60.14
Chris DiMarco,60.13
Padraig Harrington,59.41
David Toms,59.21
Bill Haas,58.62
Aaron Baddeley,58.33
Brandt Snedeker,57.86
Bill Lunde,57.39
Zach Johnson,57.24
Carl Pettersson,56.71
Rocco Mediate,56.7
Jason Dufner,56.69
Luke Donald,56.48
Sergio Garcia,56.36
Rory McIlroy,56.16
Ian Poulter,56.12
Matt Every,56.1
Keegan Bradley,55.3
Geoff Ogilvy,55.28
Phil Mickelson,55.07
Roberto Castro,55
Ben Crane,54.61
Lee Westwood,54.44
Henrik Stenson,54.43
Jason Day,54.37
Tim Clark,54.35
Gavin Coles,54.35
Stuart Appleby,54.31
Billy Hurley III,54.24
Kevin Na,54.03
Dustin Johnson,53.85
Daniel Chopra,53.75
Tom Gillis,53.74
Mark Anderson,53.62
J.J. Killeen,53.55
Michael Thompson,53.45
Mathew Goggin,53.4
Jerry Kelly,53.02
Jonathan Byrd,52.89
Nick O'Hern,52.8
Ryan Moore,52.74
Edward Loar,52.7
Jimmy Walker,52.66
Ryuji Imada,52.63
Mark Wilson,52.63
Ryo Ishikawa,52.38
Matt Jones,52.38
David Hearn,52.14
Tim Herron,51.92
Charl Schwartzel,51.81
Dicky Pride,51.72
Brian Davis,51.68
Kyle Reifers,51.59
Robert Karlsson,51.58
Billy Mayfair,51.43
Webb Simpson,51.24
John Huh,51.03
Vijay Singh,50.9
Nathan Green,50.89
Y.E. Yang,50.83
Pat Perez,50.76
Russell Knox,50.6
Davis Love III,50.43
Chris Stroud,50.43
Jason Bohn,50.33
Cameron Beckman,50
Graham DeLaet,50
Brian Harman,50
Trevor Immelman,50
Spencer Levin,50
Vaughn Taylor,50
Tommy Gainey,49.46
J.B. Holmes,49.34
Greg Owen,49.3
Rod Pampling,49.03
Tiger Woods,49
Rory Sabbatini,48.99
Scott Piercy,48.92
Marc Leishman,48.87
John Senden,48.82
K.J. Choi,48.72
Rickie Fowler,48.63
Brendon de Jonge,48.47
Erik Compton,48.41
Bryce Molder,48.31
Seung-Yul Noh,48.25
Bo Van Pelt,48.12
Ernie Els,48
James Driscoll,47.9
Stephen Gangluff,47.87
George McNeill,47.65
Steve Stricker,47.62
Harrison Frazar,47.57
Marco Dawson,47.5
Colt Knost,47.33
Chris Kirk,47.26
Nick Watney,47.22
Danny Lee,47.06
Ryan Palmer,47.02
Michael Bradley,46.99
Stephen Ames,46.91
Chez Reavie,46.88
Tom Pernice Jr.,46.73
Harris English,46.54
Charles Howell III,46.54
Brendon Todd,46.49
Scott Dunlap,46.43
Kris Blanks,46.4
Angel Cabrera,46.38
Blake Adams,46.35
Kevin Chappell,46.15
Billy Horschel,46.15
William McGirt,46.1
Andres Romero,46.02
Hunter Mahan,45.91
Kevin Streelman,45.91
Ken Duke,45.88
Kyle Stanley,45.77
Troy Matteson,45.75
Adam Scott,45.74
Daniel Summerhays,45.74
D.A. Points,45.52
Bob Estes,45.45
Bobby Gates,45.45
Kevin Kisner,45.45
Derek Lamely,45.36
Sangmoon Bae,45.33
Josh Teater,45.33
John Daly,45.31
Miguel Angel Carballo,45.28
D.J. Trahan,45.19
Sung Kang,45.04
Jeff Overton,44.94
Sean O'Hair,44.93
Stewart Cink,44.92
Chad Campbell,44.76
Brandt Jobe,44.74
J.J. Henry,44.66
Charlie Wi,44.65
Justin Leonard,44.63
Robert Garrigus,44.52
Patrick Sheehan,44.44
Louis Oosthuizen,44.23
Camilo Villegas,44.12
Cameron Tringale,44.08
Ricky Barnes,43.8
John Mallinger,43.64
Jason Kokrak,43.55
Heath Slocum,43.31
Martin Laird,43.24
Richard Lee,43.18
Arjun Atwal,43.08
Charley Hoffman,43.06
Boo Weekley,43.01
Robert Allenby,42.98
Brendan Steele,42.74
Steve Wheatcroft,42.68
David Mathis,42.57
John Rollins,42.45
Hunter Haas,42.4
Will Claxton,42.31
Kyle Thompson,42.11
"Ted Potter, Jr.",41.8
Jeff Maggert,41.73
Troy Kelly,41.35
Kevin Stadler,40.87
Scott Brown,40.45
Matt Bettencourt,40
John Merrick,40
Garth Mulroy,40
Freddie Jacobson,39.42
Johnson Wagner,39.39
Charlie Beljan,39.34
Bubba Watson,39.33
Scott Stallings,38.94
Tommy Biershenk,38.53
Ben Curtis,38.36
Gary Woodland,38.24
Gary Christian,37.98
Chris Couch,37.89
Jhonattan Vegas,37.7
Graeme McDowell,33.33
Roland Thatcher,32.43
Alexandre Rocha,29.73
