PLAYER,birdie conversion
Steve Stricker,35.33
Andres Romero,34.47
Luke Donald,34.11
Steven Bowditch,33.8
Jason Day,33.8
Rickie Fowler,33.69
J.B. Holmes,33.54
Dustin Johnson,33.41
Webb Simpson,33.28
Nick Watney,33.26
Kevin Na,33.12
Aaron Baddeley,32.99
Geoff Ogilvy,32.53
Brandt Snedeker,32.52
Angel Cabrera,32.51
Hunter Mahan,32.36
Charley Hoffman,32.24
Chris Couch,32.16
Bubba Watson,31.96
Matt Kuchar,31.86
Robert Garrigus,31.85
Bryce Molder,31.84
Martin Laird,31.57
Phil Mickelson,31.46
Kyle Stanley,31.45
Carl Pettersson,31.42
Steve Marino,31.33
Pat Perez,31.28
Scott Piercy,31.24
Joe Ogilvie,31.21
Lee Janzen,31.17
Anthony Kim,31.13
Steve Flesch,31.08
Chris Kirk,31.03
Gary Woodland,31.03
D.A. Points,30.95
Freddie Jacobson,30.94
Adam Scott,30.83
Vijay Singh,30.72
Retief Goosen,30.69
Lucas Glover,30.67
Charlie Wi,30.6
Tommy Gainey,30.56
Jhonattan Vegas,30.54
Ryan Palmer,30.53
Brendon de Jonge,30.49
Robert Karlsson,30.46
Ryan Moore,30.46
Keegan Bradley,30.32
Bio Kim,30.26
Brian Davis,30.19
Matt Jones,30.19
Chez Reavie,30.16
Y.E. Yang,30.12
Blake Adams,30.07
Charl Schwartzel,30.06
George McNeill,30
Ben Martin,29.85
Hunter Haas,29.84
Matt Bettencourt,29.81
Shane Bertsch,29.77
Cameron Beckman,29.74
Stewart Cink,29.71
David Toms,29.65
James Driscoll,29.61
Arjun Atwal,29.57
Graeme McDowell,29.57
Josh Teater,29.54
Jason Dufner,29.53
Brendan Steele,29.52
Woody Austin,29.51
Jonathan Byrd,29.5
Bo Van Pelt,29.45
Scott Stallings,29.44
Bill Lunde,29.39
Jeff Overton,29.38
Kevin Stadler,29.35
Aron Price,29.3
Kevin Streelman,29.28
Greg Chalmers,29.26
David Mathis,29.21
Brandt Jobe,29.17
Justin Rose,29.17
Zack Miller,29.15
Ian Poulter,29.12
Zach Johnson,29.11
Brian Gay,29.08
Bill Haas,29.06
Jimmy Walker,29.03
Rory Sabbatini,28.99
Camilo Villegas,28.95
Paul Stankowski,28.91
John Rollins,28.9
Troy Matteson,28.84
John Merrick,28.83
Jason Bohn,28.81
Matt McQuillan,28.8
Kevin Chappell,28.79
David Duval,28.76
Tag Ridings,28.76
Vaughn Taylor,28.76
Harrison Frazar,28.73
Scott McCarron,28.72
Boo Weekley,28.7
Marc Leishman,28.67
Jim Renner,28.64
John Senden,28.61
Ryuji Imada,28.57
Sung Kang,28.55
Andres Gonzales,28.52
Michael Thompson,28.44
Chris Stroud,28.42
Billy Mayfair,28.4
Tim Petrovic,28.4
Tim Herron,28.38
Roland Thatcher,28.29
Garrett Willis,28.29
Billy Horschel,28.25
Derek Lamely,28.25
Ben Crane,28.24
Padraig Harrington,28.24
Kevin Kisner,28.22
Rod Pampling,28.12
D.J. Brigman,28.11
Fabian Gomez,28.07
Robert Allenby,28.03
Davis Love III,28.02
Cameron Tringale,28
Will Strickler,27.97
Spencer Levin,27.85
Chris DiMarco,27.76
Nate Smith,27.75
Alex Prugh,27.68
Sergio Garcia,27.63
Mark Wilson,27.62
Nathan Green,27.61
Stuart Appleby,27.58
Ricky Barnes,27.51
Jarrod Lyle,27.45
Charles Howell III,27.43
K.J. Choi,27.36
Bobby Gates,27.33
Chad Campbell,27.32
Paul Goydos,27.26
Dean Wilson,27.26
Alex Cejka,27.25
Jerry Kelly,27.23
Nick O'Hern,27.21
J.P. Hayes,27.14
Michael Putnam,27.12
Martin Piller,27.09
Scott Gutschewski,27.08
Sean O'Hair,27.01
Stephen Ames,27
Michael Bradley,26.97
D.J. Trahan,26.73
Joseph Bramlett,26.71
David Hearn,26.67
Kris Blanks,26.64
Jim Furyk,26.51
Briny Baird,26.42
Johnson Wagner,26.34
J.J. Henry,26.29
Kent Jones,26.15
Rocco Mediate,26.14
Ben Curtis,26.09
Jim Herman,26.01
Heath Slocum,25.98
William McGirt,25.94
Michael Connell,25.92
Steve Elkington,25.92
Trevor Immelman,25.88
Tom Gillis,25.61
Chris Riley,25.39
Ernie Els,25.14
Troy Merritt,25.07
Colt Knost,24.88
Marc Turnesa,24.8
Justin Leonard,24.69
Daniel Summerhays,24.58
Shaun Micheel,24.55
Justin Hicks,24.07
Joe Durant,23.67
Rich Beem,23.52
Alexandre Rocha,23.32
Richard Johnson,23
