PLAYER,STROKES GAINED PUTTING
Greg Chalmers,0.858
Steve Stricker,0.73
Stephen Ames,0.711
Brandt Snedeker,0.691
Aaron Baddeley,0.658
Phil Mickelson,0.658
James Driscoll,0.649
Sergio Garcia,0.611
Russell Henley,0.611
Bryce Molder,0.594
Richard Lee,0.553
Doug LaBelle II,0.541
Luke Donald,0.53
David Hearn,0.486
Peter Hanson,0.481
Harris English,0.478
Chris Kirk,0.456
Freddie Jacobson,0.448
Charles Howell III,0.438
Colt Knost,0.43
David Lynn,0.429
Brian Gay,0.425
Tiger Woods,0.424
Rickie Fowler,0.422
Matt Kuchar,0.399
Aaron Watkins,0.396
Hunter Mahan,0.38
Billy Horschel,0.373
Jason Day,0.369
Sangmoon Bae,0.368
Zach Johnson,0.364
Stuart Appleby,0.354
Justin Leonard,0.349
Patrick Reed,0.348
Chris Stroud,0.341
K.J. Choi,0.337
Ryan Palmer,0.334
Shawn Stefani,0.333
Bob Estes,0.332
Jonas Blixt,0.314
Webb Simpson,0.314
Jeff Overton,0.31
Charl Schwartzel,0.304
Mike Weir,0.286
Jimmy Walker,0.278
Bill Haas,0.266
Johnson Wagner,0.266
Casey Wittenberg,0.253
Keegan Bradley,0.249
"Ted Potter, Jr.",0.249
Kevin Streelman,0.246
Erik Compton,0.232
Brian Davis,0.232
Jerry Kelly,0.228
William McGirt,0.227
Daniel Summerhays,0.219
Ben Curtis,0.212
Morgan Hoffmann,0.207
Jason Bohn,0.185
Jordan Spieth,0.18
Charlie Wi,0.178
Ian Poulter,0.176
Tom Gillis,0.175
Scott Stallings,0.149
Fabian Gomez,0.148
Brian Harman,0.146
Matt Jones,0.146
J.J. Henry,0.144
Cameron Percy,0.136
Martin Kaymer,0.134
Graeme McDowell,0.134
Charley Hoffman,0.127
Andres Romero,0.118
Cameron Tringale,0.106
Vaughn Taylor,0.104
Graham DeLaet,0.097
Jim Furyk,0.092
Tommy Gainey,0.082
Martin Flores,0.081
Marc Leishman,0.081
Brian Stuard,0.08
John Merrick,0.064
Gary Woodland,0.062
Angel Cabrera,0.058
Tim Clark,0.058
Scott Langley,0.052
Tag Ridings,0.051
D.H. Lee,0.048
Ben Kohles,0.043
Brendan Steele,0.04
Justin Bolli,0.038
Brandt Jobe,0.029
Andrew Svoboda,0.027
Brendon de Jonge,0.025
Josh Teater,0.023
Ben Crane,0.022
Bobby Gates,0.014
Henrik Stenson,0.005
Nick Watney,0.004
Troy Matteson,0.003
Robert Streb,0.003
James Hahn,0.002
Adam Scott,-0.001
Dicky Pride,-0.009
Chez Reavie,-0.009
David Lingmerth,-0.015
Alistair Presnell,-0.018
Ken Duke,-0.027
Ryan Moore,-0.027
George McNeill,-0.029
Carl Pettersson,-0.029
Pat Perez,-0.031
Jin Park,-0.036
Tim Herron,-0.044
Steven Bowditch,-0.05
Y.E. Yang,-0.071
Rory McIlroy,-0.091
Bubba Watson,-0.092
Matt Every,-0.093
Dustin Johnson,-0.103
Michael Thompson,-0.12
Martin Laird,-0.127
Jason Kokrak,-0.129
Padraig Harrington,-0.13
Ernie Els,-0.138
John Senden,-0.139
Camilo Villegas,-0.149
Henrik Norlander,-0.163
D.A. Points,-0.163
Steve LeBrun,-0.176
Bo Van Pelt,-0.182
Scott Piercy,-0.184
Justin Rose,-0.191
Mark Wilson,-0.194
Charlie Beljan,-0.205
Luke Guthrie,-0.207
Justin Hicks,-0.213
Derek Ernst,-0.215
Scott Brown,-0.216
Brad Fritsch,-0.224
John Huh,-0.228
Jason Dufner,-0.23
Jim Herman,-0.232
Stewart Cink,-0.243
John Rollins,-0.249
D.J. Trahan,-0.249
Chad Campbell,-0.25
Rory Sabbatini,-0.267
Luke List,-0.269
Sean O'Hair,-0.275
Nicholas Thompson,-0.281
Kevin Stadler,-0.284
Jeff Maggert,-0.321
Scott Gardiner,-0.325
Robert Karlsson,-0.333
Geoff Ogilvy,-0.333
Robert Allenby,-0.34
Kevin Chappell,-0.348
Trevor Immelman,-0.363
David Toms,-0.397
Lee Williams,-0.426
Darron Stiles,-0.428
Robert Garrigus,-0.44
David Mathis,-0.45
Michael Bradley,-0.453
Seung-Yul Noh,-0.464
Roberto Castro,-0.469
Lee Westwood,-0.484
Rod Pampling,-0.562
Bud Cauley,-0.571
Nicolas Colsaerts,-0.575
Ricky Barnes,-0.584
Ryo Ishikawa,-0.665
Greg Owen,-0.67
Boo Weekley,-0.678
Kyle Stanley,-0.68
Will Claxton,-0.709
Lucas Glover,-0.858
Vijay Singh,-0.901
Eric Meierdierks,-0.957
