RK,PLAYER,AGE,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.
128,Matt Kuchar,37,286.2,64.7,180,67,1.735,58.9
129,Shaun Micheel,47,286.1,55.7,294,59.7,1.816,56.3
130,Rich Beem,45,286.1,63.9,192,61.9,1.838,40.3
131,Jarrod Lyle,34,286.1,58.9,260,59,1.818,49.7
132,Justin Hicks,41,286,69.9,145,56.9,1.862,32.5
133,Charlie Wi,44,285.8,61.3,234,63.7,1.754,53
134,K.J. Choi,46,285.6,62,225,65.9,1.787,55.6
135,Matt McQuillan,--,285.4,64.5,190,58.4,1.761,45.5
136,Steve Elkington,53,285.4,69.6,149,66.4,1.804,48.2
137,Kent Jones,49,285,66.1,178,61.8,1.796,39.5
138,Nathan Green,41,285,59.4,263,59.3,1.788,49.3
139,Ben Crane,40,284.9,67.1,165,66.4,1.784,47.3
140,Daniel Summerhays,32,284.9,62.8,223,61.6,1.824,46.7
141,Kris Blanks,43,284.9,63.1,215,67.4,1.798,44.1
142,Jason Bohn,43,284.9,67.5,160,63.7,1.775,50
143,Arjun Atwal,43,284.8,56.3,305,63.2,1.767,53.7
144,Mark Wilson,41,284.8,67.6,163,66,1.782,55.2
145,Cameron Beckman,46,284.3,61,249,59.6,1.774,48.5
146,Kevin Kisner,32,284.3,61,254,55.4,1.771,42.7
147,Vaughn Taylor,40,284.1,64.2,205,66,1.756,40.8
148,Luke Donald,38,284.1,64.3,204,67.3,1.7,59.1
149,Paul Stankowski,46,283.9,59,277,60.2,1.781,61.2
150,Stephen Ames,52,283.8,67.4,172,61.5,1.787,48
151,Joe Durant,52,283.6,75.7,152,69.2,1.847,46.9
152,Ryuji Imada,39,283.4,60.4,265,64.3,1.777,49.3
153,Billy Mayfair,49,283.3,70.4,162,65.8,1.791,50.4
154,Brian Davis,41,283.3,70.3,163,67.4,1.757,51.6
155,Ian Poulter,40,282.8,64.8,206,65.6,1.761,55.2
156,Marc Turnesa,38,282.8,62.9,235,63.2,1.808,47.8
157,J.P. Hayes,50,282.7,64.4,213,59.3,1.803,48.9
158,Aron Price,34,282.6,70.3,169,60.2,1.775,44.4
159,Steve Flesch,49,282.5,61.4,259,57.1,1.747,52
160,Johnson Wagner,36,282.2,67.3,183,63.9,1.792,44.2
161,Bryce Molder,37,282,66.5,195,63.4,1.73,57.5
162,David Mathis,42,282,66.8,190,59.6,1.767,50.4
163,Heath Slocum,42,281.9,74.9,165,71.4,1.798,45.4
164,Jim Furyk,46,281.4,68,182,67.6,1.781,53.4
165,Nate Smith,32,281.2,61,272,56,1.773,53.1
166,Tim Petrovic,49,280.5,64.7,219,59.3,1.777,47.4
167,Alex Cejka,45,280.3,66.4,204,66.1,1.786,51.3
168,Justin Leonard,43,280.1,65.3,215,64.9,1.806,53
169,Shane Bertsch,46,280.1,67,195,58.2,1.75,48.9
170,Kevin Na,32,279.8,57.7,312,61,1.724,55.3
171,Garrett Willis,42,279.7,67.8,190,62.6,1.778,41.4
172,Greg Chalmers,42,279.6,62.4,258,59.8,1.732,61.7
173,Michael Connell,--,279.5,65.8,218,63.8,1.809,42.5
174,Chris Riley,42,279.3,70.2,186,61.4,1.813,58.2
175,David Toms,49,279.1,71.8,181,66.6,1.749,55.9
176,Colt Knost,30,279,66,218,57.4,1.792,39.5
177,Zach Johnson,40,278.2,71.1,185,66.4,1.758,54.6
178,Chris DiMarco,47,277.9,66.7,211,61.6,1.779,50.4
179,Dean Wilson,46,276.8,65.3,227,61.6,1.777,51.8
180,Ben Curtis,39,276.7,71.9,185,65.8,1.803,53.6
181,Richard S. Johnson,39,276.6,63.5,251,57.5,1.816,38.7
182,Nick O'Hern,44,276.3,71.7,189,63.7,1.774,49.6
183,Jerry Kelly,49,275.6,73.3,186,62.4,1.777,56
184,Rocco Mediate,53,275.5,68.9,200,62.2,1.813,37.8
185,Paul Goydos,51,274.8,69,200,64.5,1.793,38.8
186,Brian Gay,44,269.8,72.8,190,60.6,1.755,63.4
