PLAYER,SCORING AVG
Rory McIlroy,68.873
Tiger Woods,68.904
Jim Furyk,69.304
Jason Dufner,69.456
Matt Kuchar,69.477
Adam Scott,69.533
Justin Rose,69.549
Dustin Johnson,69.564
Bubba Watson,69.639
Luke Donald,69.687
Louis Oosthuizen,69.707
Bo Van Pelt,69.718
Padraig Harrington,69.736
Zach Johnson,69.821
Brandt Snedeker,69.84
Steve Stricker,69.865
Sergio Garcia,69.928
Keegan Bradley,69.984
Carl Pettersson,70.013
Phil Mickelson,70.03
Webb Simpson,70.04
John Senden,70.05
Robert Garrigus,70.066
Lee Westwood,70.084
Ernie Els,70.131
Brendon de Jonge,70.137
Jason Day,70.152
Vijay Singh,70.156
Ian Poulter,70.176
Davis Love III,70.194
Jeff Overton,70.197
Graeme McDowell,70.229
Henrik Stenson,70.239
Jonas Blixt,70.244
Ryan Palmer,70.252
Seung-Yul Noh,70.256
Charl Schwartzel,70.281
Ryan Moore,70.3
Hunter Mahan,70.346
Will Claxton,70.369
Ken Duke,70.376
Pat Perez,70.378
John Huh,70.384
Charles Howell III,70.385
Scott Piercy,70.409
Greg Chalmers,70.417
Bob Estes,70.418
Roberto Castro,70.434
Geoff Ogilvy,70.436
Greg Owen,70.444
Bud Cauley,70.458
Bill Haas,70.484
Billy Horschel,70.494
Kevin Stadler,70.525
Ben Curtis,70.538
Martin Flores,70.538
Jimmy Walker,70.556
Freddie Jacobson,70.561
Chad Campbell,70.566
Nick Watney,70.577
Blake Adams,70.586
Rickie Fowler,70.606
Sean O'Hair,70.615
John Rollins,70.618
Graham DeLaet,70.624
Kyle Stanley,70.633
Kevin Na,70.634
Harris English,70.688
Tim Clark,70.697
Charlie Wi,70.697
John Mallinger,70.699
John Merrick,70.701
Ben Crane,70.708
Michael Thompson,70.718
Daniel Summerhays,70.722
William McGirt,70.729
David Toms,70.74
Jonathan Byrd,70.753
Brian Gay,70.767
Spencer Levin,70.776
Tim Herron,70.781
Matt Every,70.789
David Hearn,70.802
Brian Davis,70.807
Richard Lee,70.809
Tom Gillis,70.812
Gary Christian,70.82
Brian Harman,70.821
Kevin Streelman,70.821
Marc Leishman,70.831
Ryo Ishikawa,70.854
Dicky Pride,70.871
Chris Stroud,70.878
John Daly,70.879
Jeff Maggert,70.883
K.J. Choi,70.886
Kevin Chappell,70.89
Chris Kirk,70.891
Johnson Wagner,70.899
Russell Knox,70.905
Heath Slocum,70.911
J.B. Holmes,70.924
J.J. Henry,70.939
D.A. Points,70.946
Billy Mayfair,70.948
Josh Teater,70.953
Jerry Kelly,70.955
Boo Weekley,70.966
Chris Couch,70.977
Martin Laird,70.989
Nathan Green,70.991
Y.E. Yang,71.005
George McNeill,71.011
Cameron Tringale,71.023
Bryce Molder,71.028
Rod Pampling,71.038
Vaughn Taylor,71.059
Danny Lee,71.062
Bill Lunde,71.062
Brandt Jobe,71.064
Camilo Villegas,71.079
Stuart Appleby,71.095
Aaron Baddeley,71.113
Rory Sabbatini,71.125
Charley Hoffman,71.139
Kyle Reifers,71.16
Ricky Barnes,71.163
Garth Mulroy,71.192
Kris Blanks,71.201
Hunter Haas,71.205
Bobby Gates,71.208
Rocco Mediate,71.218
James Driscoll,71.246
Troy Matteson,71.247
Jason Bohn,71.248
David Mathis,71.333
Chez Reavie,71.334
Kevin Kisner,71.342
Robert Allenby,71.355
Matt Jones,71.367
Trevor Immelman,71.37
Mark Wilson,71.375
Gavin Coles,71.397
Charlie Beljan,71.401
Jhonattan Vegas,71.44
Jason Kokrak,71.445
Mathew Goggin,71.449
Robert Karlsson,71.453
Stewart Cink,71.483
Chris DiMarco,71.488
Scott Stallings,71.49
Erik Compton,71.499
J.J. Killeen,71.502
Stephen Ames,71.511
Troy Kelly,71.531
Tommy Gainey,71.54
Andres Romero,71.543
Gary Woodland,71.552
D.J. Trahan,71.563
Nick O'Hern,71.579
Angel Cabrera,71.581
Justin Leonard,71.583
Steve Wheatcroft,71.584
Sangmoon Bae,71.629
Arjun Atwal,71.634
Roland Thatcher,71.646
Scott Dunlap,71.653
Mark Anderson,71.692
"Ted Potter, Jr.",71.71
Cameron Beckman,71.726
Harrison Frazar,71.739
Colt Knost,71.798
Scott Brown,71.835
Daniel Chopra,71.872
Brendon Todd,71.873
Derek Lamely,71.876
Brendan Steele,71.887
Miguel Angel Carballo,71.918
Edward Loar,71.922
Patrick Sheehan,71.95
Ryuji Imada,71.978
Alexandre Rocha,72.039
Michael Bradley,72.059
Billy Hurley III,72.116
Tom Pernice Jr.,72.137
Matt Bettencourt,72.182
Kyle Thompson,72.296
Marco Dawson,72.304
Tommy Biershenk,72.494
Sung Kang,72.571
Stephen Gangluff,72.995
