PLAYER,STROKES GAINED PUTTING
Luke Donald,0.922
Steve Stricker,0.81
Bryce Molder,0.774
Charlie Wi,0.767
Greg Chalmers,0.702
Freddie Jacobson,0.658
Jason Day,0.623
Zach Johnson,0.61
Kevin Na,0.609
Scott McCarron,0.595
Brandt Snedeker,0.589
Ryan Moore,0.543
Nick Watney,0.534
Hunter Mahan,0.53
Angel Cabrera,0.518
Dean Wilson,0.518
Brian Gay,0.507
Matt McQuillan,0.505
Blake Adams,0.497
Andres Romero,0.465
Geoff Ogilvy,0.464
Michael Putnam,0.457
Michael Thompson,0.454
Matt Kuchar,0.444
Carl Pettersson,0.415
Ben Martin,0.414
Rickie Fowler,0.408
David Toms,0.407
Kevin Streelman,0.385
Charles Howell III,0.381
Nate Smith,0.37
Johnson Wagner,0.37
Hunter Haas,0.359
Will Strickler,0.35
Aaron Baddeley,0.344
Chris Couch,0.334
Colt Knost,0.333
Trevor Immelman,0.325
Ian Poulter,0.325
Steve Flesch,0.316
Paul Stankowski,0.316
Retief Goosen,0.314
Brendon de Jonge,0.298
Steve Elkington,0.283
Webb Simpson,0.267
John Senden,0.261
Lucas Glover,0.257
Anthony Kim,0.237
D.A. Points,0.237
Scott Piercy,0.234
Jimmy Walker,0.234
Stewart Cink,0.227
Roland Thatcher,0.226
David Mathis,0.225
William McGirt,0.224
Vaughn Taylor,0.223
Y.E. Yang,0.222
Tim Petrovic,0.221
Padraig Harrington,0.215
Ben Curtis,0.212
Andres Gonzales,0.204
Pat Perez,0.201
Joe Ogilvie,0.2
Jerry Kelly,0.198
Mark Wilson,0.184
David Hearn,0.181
Shaun Micheel,0.176
Jeff Overton,0.169
K.J. Choi,0.151
Cameron Tringale,0.146
Marc Turnesa,0.146
Matt Bettencourt,0.145
Steven Bowditch,0.144
Jim Renner,0.139
Lee Janzen,0.137
Tommy Gainey,0.136
Tim Herron,0.134
J.J. Henry,0.127
Steve Marino,0.121
Martin Piller,0.12
Aron Price,0.116
Bill Haas,0.115
Jonathan Byrd,0.114
Nathan Green,0.113
Ben Crane,0.101
Shane Bertsch,0.095
Briny Baird,0.094
Martin Laird,0.091
Richard Johnson,0.085
Graeme McDowell,0.085
Robert Karlsson,0.083
Justin Rose,0.079
Kevin Kisner,0.07
Rod Pampling,0.066
Tag Ridings,0.051
Matt Jones,0.032
Arjun Atwal,0.028
Bio Kim,0.025
John Merrick,0.024
Keegan Bradley,0.02
Alexandre Rocha,0.013
Stephen Ames,0.01
George McNeill,0.008
Nick O'Hern,0.008
Spencer Levin,0.002
J.P. Hayes,-0.001
Kent Jones,-0.001
Jason Bohn,-0.003
Bill Lunde,-0.012
Garrett Willis,-0.013
Brian Davis,-0.015
Brandt Jobe,-0.02
Woody Austin,-0.025
Brendan Steele,-0.028
Charl Schwartzel,-0.037
Jason Dufner,-0.056
Ryan Palmer,-0.06
Billy Horschel,-0.062
James Driscoll,-0.066
Sung Kang,-0.073
Chez Reavie,-0.075
J.B. Holmes,-0.084
Michael Connell,-0.089
John Rollins,-0.09
Vijay Singh,-0.099
Fabian Gomez,-0.107
Ryuji Imada,-0.107
Justin Leonard,-0.111
Bubba Watson,-0.116
Jarrod Lyle,-0.132
Phil Mickelson,-0.133
Josh Teater,-0.135
Gary Woodland,-0.139
Marc Leishman,-0.14
Sergio Garcia,-0.148
Stuart Appleby,-0.151
Chris Kirk,-0.158
Troy Matteson,-0.158
Cameron Beckman,-0.166
Chris Stroud,-0.169
Chris DiMarco,-0.178
Scott Stallings,-0.184
Adam Scott,-0.189
Bo Van Pelt,-0.192
Robert Allenby,-0.197
Michael Bradley,-0.197
Jim Furyk,-0.218
Billy Mayfair,-0.22
Charley Hoffman,-0.221
Sean O'Hair,-0.222
Daniel Summerhays,-0.224
D.J. Brigman,-0.248
Derek Lamely,-0.262
Chris Riley,-0.262
Camilo Villegas,-0.268
Jhonattan Vegas,-0.284
Davis Love III,-0.294
Troy Merritt,-0.328
Jim Herman,-0.362
Harrison Frazar,-0.364
Kevin Stadler,-0.385
Rory Sabbatini,-0.41
Tom Gillis,-0.419
Bobby Gates,-0.42
Chad Campbell,-0.423
Zack Miller,-0.425
David Duval,-0.433
Kris Blanks,-0.451
Robert Garrigus,-0.459
Kyle Stanley,-0.481
Dustin Johnson,-0.494
Ricky Barnes,-0.509
Heath Slocum,-0.51
Rocco Mediate,-0.557
Joseph Bramlett,-0.561
Kevin Chappell,-0.564
Rich Beem,-0.577
Paul Goydos,-0.615
Alex Prugh,-0.631
Alex Cejka,-0.682
Ernie Els,-0.711
Scott Gutschewski,-0.722
D.J. Trahan,-0.769
Joe Durant,-0.853
Justin Hicks,-0.942
Boo Weekley,-1.168
