PLAYER,AVG.,FASTEST SPEED,SLOWEST SPEED
Tony Finau,124.07,129.38,120.27
Charlie Beljan,124.02,127.9,120.4
Bubba Watson,123.52,128.17,120.62
Brooks Koepka,122.77,129.11,114.72
Jhonattan Vegas,122.51,128.71,118.35
Henrik Stenson,121.67,125.68,117.85
Dustin Johnson,121.49,125.92,112.62
Hudson Swafford,121.43,126.19,116.18
Gary Woodland,121.14,125.45,116.59
J.B. Holmes,120.62,124.05,116.26
Adam Scott,120.27,122.85,109.8
Jason Day,120.16,125.78,115.06
Patrick Rodgers,120.08,123.61,116.41
Jason Kokrak,119.82,123.4,116.16
Sergio Garcia,119.78,125.07,115.96
Derek Ernst,119.67,122.54,116.78
Daniel Berger,119.57,125.52,116
Charles Howell III,119.26,122.02,115.64
John Senden,119.07,125.16,113.95
Martin Flores,118.68,124.42,114.05
Kevin Chappell,118.61,124.56,115.2
Phil Mickelson,118.09,123.56,114.79
Nick Watney,118.09,124.25,113.99
Aaron Baddeley,118.04,122.81,114.9
Brendan Steele,118.01,120.94,114.1
Ricky Barnes,117.94,123.81,112.04
Keegan Bradley,117.87,120.87,115.33
Robert Garrigus,117.85,122.77,114.16
Patrick Reed,117.85,120.9,114.64
Graham DeLaet,117.83,122.71,113.8
Harris English,117.74,121.38,114.35
Stewart Cink,117.72,122.36,114.23
Steven Bowditch,117.61,121.19,111.63
Rickie Fowler,117.5,122.39,114.45
Charl Schwartzel,117.41,121.97,114.8
Max Homa,117.35,121.93,113.71
Paul Casey,117.16,121.56,113.51
Angel Cabrera,117.14,122.1,113.66
Justin Rose,117.1,123.18,110.61
Seung-Yul Noh,116.99,121.8,112.65
Shawn Stefani,116.95,120.57,113.85
Will Wilcox,116.92,120.73,113.09
Michael Putnam,116.89,122.75,112.88
Jimmy Walker,116.89,121.64,111.59
Robert Streb,116.82,120.21,113.22
Scott Pinckney,116.53,122.96,113.05
Russell Henley,116.51,119.78,113.05
Martin Laird,116.35,120.18,112.73
Lucas Glover,116.34,122.91,111.33
Justin Thomas,116.34,120.47,112.92
Charley Hoffman,116.3,120.56,111.6
Matt Jones,116.27,120.65,111.26
Lee Westwood,115.81,118.24,111.48
Andres Gonzales,115.75,120.51,112.31
Marc Leishman,115.69,118.98,112.23
George McNeill,115.69,119.66,111.68
Alex Prugh,115.67,121.03,111.83
Ryo Ishikawa,115.58,119.85,112.11
Byron Smith,115.48,120.1,112.49
Tom Hoge,115.37,120.61,111.9
Carlos Ortiz,115.32,119.07,110.78
Greg Owen,115.24,120.45,110.48
Scott Piercy,115.2,118.95,107.91
Pat Perez,115.12,121.98,110.32
Ryan Palmer,115.11,118.87,111.19
Jim Herman,114.98,119.44,111.76
Jonathan Randolph,114.89,123.85,109.81
Scott Stallings,114.85,118.98,111.77
Gonzalo Fdez-Castano,114.82,120.26,110.61
Roger Sloan,114.69,119.82,111.31
Adam Hadwin,114.67,120.01,110.96
Jamie Donaldson,114.63,117.91,111.03
Louis Oosthuizen,114.57,117.05,111.1
Sean O'Hair,114.51,118.73,109.62
Ben Martin,114.46,118.81,110.2
Hideki Matsuyama,114.39,124.07,110.55
Andres Romero,114.14,117.94,110.4
James Hahn,114.12,121.21,104.98
Troy Merritt,114.09,117.96,109.93
Sam Saunders,114.08,117.99,110.42
Padraig Harrington,114.07,120.04,110.71
Geoff Ogilvy,114.01,117.24,111.07
Eric Axley,113.96,116.47,110.58
Retief Goosen,113.85,118.79,109.52
J.J. Henry,113.84,116.72,110.61
Morgan Hoffmann,113.63,117.15,110.36
Brendon de Jonge,113.62,123.26,110.09
Matt Every,113.62,118.68,110.5
Sangmoon Bae,113.53,117.54,110.23
Boo Weekley,113.44,117.32,109.12
Billy Horschel,113.38,117.03,107.33
Johnson Wagner,113.33,116.76,109.53
Kevin Streelman,113.32,117.69,109.34
Camilo Villegas,113.03,118.14,109.9
Davis Love III,112.89,116.95,109.49
Andrew Svoboda,112.86,116.3,109.2
Jordan Spieth,112.79,117.63,109.75
Jason Gore,112.76,117.41,108.62
Kevin Na,112.65,118.02,106.2
Tyrone Van Aswegen,112.63,116.77,109.01
Michael Thompson,112.56,119.52,108.52
John Peterson,112.52,118.92,108.93
Jason Dufner,112.3,116.95,107.08
Erik Compton,112.23,116.44,108.82
Bo Van Pelt,112.21,115.91,107.95
Bill Haas,112.2,117.92,106.89
