PLAYER,ONE PUTT PCT
Bubba Watson,76.28
Jason Day,69.47
Patrick Rodgers,69.44
Angel Cabrera,69.38
Tony Finau,68.47
Jason Kokrak,66.9
Sergio Garcia,66.67
Carlos Ortiz,66.13
Brooks Koepka,65.35
Charl Schwartzel,65.13
Jhonattan Vegas,64.86
Keegan Bradley,63.27
Dustin Johnson,63.16
Justin Thomas,63.01
Brendan Steele,62.97
J.B. Holmes,62.6
Sam Saunders,62.39
Charlie Beljan,62.19
Morgan Hoffmann,61.92
Charles Howell III,61.62
Adam Scott,61.26
Derek Ernst,60.93
Matt Jones,60.92
Ernie Els,60.42
Daniel Berger,60.39
Steven Bowditch,60.24
Marc Leishman,60.22
Martin Flores,60.15
Harris English,60.06
Gonzalo Fdez-Castano,59.91
Andres Romero,59.7
Henrik Stenson,59.66
Gary Woodland,59.53
Billy Horschel,59.52
Charley Hoffman,59.41
Robert Garrigus,59.28
Will Wilcox,58.91
Justin Rose,58.7
Max Homa,58.48
Louis Oosthuizen,57.63
Phil Mickelson,57.4
Geoff Ogilvy,57.24
Kevin Streelman,57.04
Martin Laird,56.62
Hudson Swafford,56.51
Jimmy Walker,56.33
Hideki Matsuyama,56.18
Vijay Singh,56.15
Rickie Fowler,56.13
John Senden,55.98
Scott Stallings,55.9
Boo Weekley,55.74
Shawn Stefani,55.65
Graham DeLaet,55.38
Hunter Mahan,55.19
Webb Simpson,55.08
Sean O'Hair,54.98
Roger Sloan,54.74
Lucas Glover,54.65
Byron Smith,54.61
John Peterson,54.58
Nick Taylor,54.4
Oscar Fraustro,54.35
Aaron Baddeley,54.27
Retief Goosen,54.24
Jordan Spieth,54.18
Scott Piercy,54.15
Robert Streb,53.63
Rory Sabbatini,53.59
Brian Harman,53.5
Russell Henley,53.01
Cameron Percy,52.97
Ryo Ishikawa,52.9
Tom Hoge,52.68
Bill Lunde,52.59
Lee Westwood,52.5
Ryan Palmer,52.28
Chesson Hadley,52.02
Roberto Castro,51.82
Alex Prugh,51.78
Jonathan Randolph,51.72
Seung-Yul Noh,51.27
Erik Compton,51.21
Patrick Reed,51.2
Carl Pettersson,51.15
Matt Kuchar,50.98
Bill Haas,50.96
Paul Casey,50.95
Adam Hadwin,50.86
Michael Putnam,50.78
Matt Every,50.47
Sangmoon Bae,50.45
Camilo Villegas,50.38
Nick Watney,50.33
Jeff Overton,50.19
Jason Gore,50
Kevin Kisner,49.85
Andres Gonzales,49.63
Steve Wheatcroft,49.42
Brendon de Jonge,49.26
Jonathan Byrd,49.13
Kevin Chappell,49.11
Scott Brown,48.97
Chez Reavie,48.85
Kyle Reifers,48.59
John Huh,48.44
Derek Fathauer,48.35
Padraig Harrington,48.35
Jamie Donaldson,47.79
Scott Pinckney,47.74
Michael Thompson,47.74
Jason Dufner,47.13
Spencer Levin,46.74
John Merrick,46.73
Davis Love III,46.53
Ricky Barnes,46.26
Jim Herman,46.24
Mark Hubbard,46.23
Chris Stroud,46.09
Jim Renner,45.96
Chris Kirk,45.91
Daniel Summerhays,45.85
Eric Axley,45.77
Andrew Svoboda,45.56
Brice Garnett,45.54
Blayne Barber,45.49
David Lingmerth,45.45
George McNeill,45.31
Greg Owen,44.83
Ben Martin,44.76
Danny Lee,44.26
Brandt Snedeker,44.12
Luke Guthrie,43.57
James Hahn,43.45
Cameron Tringale,43.1
Johnson Wagner,42.86
Robert Allenby,42.77
Zach Johnson,42.41
Pat Perez,42.15
Alex Cejka,42.07
Chad Campbell,41.64
Kevin Na,41.6
Whee Kim,41.4
Tyrone Van Aswegen,41.26
S.J. Park,41.18
Bo Van Pelt,41.06
Ian Poulter,41.04
Andrew Putnam,40.98
Stewart Cink,40.85
Fabian Gomez,40.74
J.J. Henry,40.73
D.A. Points,40.67
Ken Duke,40.59
Jerry Kelly,40.52
Scott Langley,40.07
Jonas Blixt,39.89
Steven Alker,39.77
Ryan Moore,39.76
Francesco Molinari,38.65
Russell Knox,38.15
Greg Chalmers,37.98
Luke Donald,37.89
Chad Collins,37.67
Troy Merritt,37.62
Brian Davis,36.63
Nicholas Thompson,36.33
Heath Slocum,36.03
Jason Bohn,35.8
Brendon Todd,34.29
William McGirt,34.18
Colt Knost,33.46
Zac Blair,33.33
Tim Wilkinson,33.33
Brian Stuard,32.98
Mark Wilson,32.88
David Hearn,32.61
Jim Furyk,32.39
K.J. Choi,30.36
Billy Hurley III,29.55
Bryce Molder,28.52
Ben Crane,24.86
David Toms,23.62
Jon Curran,23.21
Justin Leonard,18.99
