PLAYER,SAND SAVE PERCENTAGE
Luke Donald,66.39
Carl Pettersson,62.94
Pat Perez,61.97
Tim Clark,61.59
Chad Collins,60.43
Briny Baird,60
Trevor Immelman,59.77
Mike Weir,59.48
Brian Gay,59.26
Brandt Snedeker,59.18
K.J. Choi,59.06
Rory Sabbatini,58.94
Justin Rose,58.78
Matt Jones,58.68
Charlie Wi,58.27
Ryuji Imada,57.94
Mark Wilson,57.94
Aron Price,57.61
Greg Chalmers,57.53
Geoff Ogilvy,57.28
Stephen Ames,57.26
Nathan Green,57.23
Chris Riley,56.86
Zach Johnson,56.29
Kenny Perry,56.25
Matt Kuchar,56.2
Kevin Sutherland,55.77
Robert Allenby,55.56
Mathias Gronberg,55.17
Webb Simpson,55.06
Jay Williamson,55
Ben Curtis,54.87
Steve Stricker,54.84
Aaron Baddeley,54.82
Jason Day,54.81
Kevin Na,54.81
Bo Van Pelt,54.74
Ian Poulter,54.63
Lucas Glover,54.62
Retief Goosen,54.62
John Senden,54.4
Ricky Barnes,54.34
Tom Pernice Jr.,54.32
J.P. Hayes,54.26
Brian Davis,54.21
Bryce Molder,54.01
Jonathan Byrd,53.85
Padraig Harrington,53.7
Phil Mickelson,53.62
Steve Wheatcroft,53.39
John Mallinger,53.24
James Driscoll,53.08
Adam Scott,53.04
J.B. Holmes,52.83
Ben Crane,52.7
Rory McIlroy,52.48
Ryan Palmer,52.41
Jerry Kelly,52.35
John Merrick,52.35
Chad Campbell,52.27
Matt Bettencourt,52.26
Joe Ogilvie,52.26
Brett Quigley,52.21
Michael Connell,52.07
Brenden Pappas,52.04
Alex Prugh,52
Paul Stankowski,51.95
Vijay Singh,51.91
Scott McCarron,51.8
Martin Flores,51.75
Martin Laird,51.61
Michael Sim,51.58
Omar Uresti,51.16
Y.E. Yang,51.15
Jeff Overton,51.09
Vaughn Taylor,50.96
Camilo Villegas,50.83
Johnson Wagner,50.79
Lee Janzen,50.74
John Daly,50.55
Steve Elkington,50.55
James Nitties,50.46
Chris Stroud,50.38
Chris DiMarco,50.37
George McNeill,50.36
Kevin Streelman,50.34
Cameron Beckman,50
Michael Bradley,50
Charley Hoffman,50
Charles Howell III,50
Freddie Jacobson,50
Cliff Kresge,50
Billy Mayfair,50
Jeff Quinney,50
Heath Slocum,50
Chris Tidland,50
David Toms,50
Troy Merritt,49.66
Jarrod Lyle,49.33
Marc Leishman,49.32
Josh Teater,49.16
Stuart Appleby,49.11
Rich Barcelo,48.94
Brendon de Jonge,48.81
David Lutterus,48.72
Bill Lunde,48.6
Ernie Els,48.44
Scott Verplank,48.32
D.J. Trahan,48.25
Sean O'Hair,48.18
Tim Petrovic,48.13
Greg Kraft,48.05
Jim Furyk,48.04
Michael Letzig,47.95
Derek Lamely,47.92
Paul Casey,47.87
Steve Flesch,47.83
Chris Couch,47.79
Justin Leonard,47.73
Andres Romero,47.46
Ted Purdy,47.45
Jeev Milkha Singh,47.19
Jason Dufner,47.1
Bubba Watson,47.01
Dean Wilson,46.97
Garrett Willis,46.9
Shaun Micheel,46.84
Charles Warren,46.48
Bob Estes,46.46
Blake Adams,46.4
Brett Wetterich,46.34
Daniel Chopra,46.09
Rod Pampling,46.03
Ryan Moore,45.8
Hunter Mahan,45.75
Graham DeLaet,45.69
Roland Thatcher,45.61
Brian Stuard,45.6
Boo Weekley,45.6
D.A. Points,45.45
Kevin Stadler,45.38
Mark Calcavecchia,45.21
Tom Gillis,45.06
Angel Cabrera,45.05
John Rollins,45.04
Stewart Cink,45
Scott Piercy,45
Dustin Johnson,44.78
Spencer Levin,44.7
Tim Herron,44.66
Greg Owen,44.66
Will MacKenzie,44.55
Bill Haas,44.52
Jerod Turner,44.44
David Duval,44.21
Alex Cejka,44.17
Woody Austin,43.54
Roger Tambellini,43.48
Kevin Johnson,43.43
Matt Every,43.27
Nick Watney,43.26
Rocco Mediate,43.18
Jimmy Walker,43.08
Rickie Fowler,42.67
Skip Kendall,41.67
Jeff Maggert,41.67
Steve Marino,41.67
Andrew McLardy,41.67
Mathew Goggin,41.27
Joe Durant,41.1
Nicholas Thompson,40.94
Jason Bohn,40.87
Garth Mulroy,40.85
Kris Blanks,40.77
Justin Bolli,40.51
Brent Delahoussaye,40.51
Craig Bowden,40.26
Richard Johnson,39.83
Cameron Tringale,39.66
Steve Lowery,39.52
Paul Goydos,39.1
Chris Wilson,38.39
J.J. Henry,38.24
Brad Faxon,37.5
Robert Garrigus,37.25
Jeff Gove,37.14
Henrik Bjornstad,36.94
Davis Love III,36.94
Sergio Garcia,36.49
Cameron Percy,36.36
Troy Matteson,36.29
Vance Veazey,33.78
