PLAYER,HIT FAIRWAY PCT
Colt Knost,74.1
Thomas Aiken,73.39
Justin Hicks,71.13
Jerry Kelly,70.88
Graeme McDowell,70.11
Brice Garnett,69.92
Zac Blair,69.83
Danny Lee,69.46
Darron Stiles,69.44
Russell Knox,69.41
Justin Leonard,69.41
Emiliano Grillo,69.32
Henrik Stenson,68.73
Jason Bohn,68.44
Billy Hurley III,68.38
Roberto Castro,68.05
Chez Reavie,67.91
David Lingmerth,67.85
Davis Love III,67.76
Abraham Ancer,67.74
Andrew Landry,67.62
Brian Stuard,67.5
Chad Campbell,67.49
John Huh,67.24
Dicky Pride,67.15
David Hearn,66.96
Kevin Kisner,66.79
Boo Weekley,66.67
David Toms,66.6
William McGirt,66.41
Mark Hubbard,65.96
Jim Herman,65.74
Kyle Reifers,65.47
Zach Johnson,65.45
Spencer Levin,65.38
Ryan Moore,65.17
Alex Cejka,65.06
Andy Sullivan,65.06
Ben Crane,64.86
Matt Kuchar,64.81
Mark Wilson,64.61
Si Woo Kim,64.39
Blayne Barber,64.38
Ken Duke,64.18
Rickie Fowler,64.15
K.J. Choi,64.14
Bill Haas,64.13
Russell Henley,64.08
Jason Gore,63.97
Jon Curran,63.59
Lucas Glover,63.57
Adam Hadwin,63.41
Kevin Na,63.03
Bryce Molder,62.94
Kyle Stanley,62.88
Billy Horschel,62.83
Vaughn Taylor,62.79
Whee Kim,62.76
Shane Lowry,62.57
Will MacKenzie,62.5
Keegan Bradley,62.47
Kevin Streelman,62.06
Chris Kirk,62.05
Shane Bertsch,62.03
Fabian Gomez,61.88
Tim Wilkinson,61.73
D.A. Points,61.7
Tim Herron,61.64
Padraig Harrington,61.62
Brett Stegmaier,61.61
Paul Casey,61.6
Jordan Spieth,61.58
Hudson Swafford,61.51
Scott Langley,61.4
Jason Dufner,61.33
Bernd Wiesberger,61.26
Rory Sabbatini,61.22
Louis Oosthuizen,61.13
Webb Simpson,61.12
Brian Harman,60.96
Scott Pinckney,60.93
Scott Brown,60.76
Sean O'Hair,60.72
Ben Martin,60.65
Justin Rose,60.64
Sergio Garcia,60.62
Brendon de Jonge,60.58
Hideki Matsuyama,60.53
Troy Merritt,60.49
Francesco Molinari,60.43
Scott Piercy,60.34
Ian Poulter,60.28
Greg Owen,60.26
Steve Stricker,60.23
Marc Leishman,60.04
Johnson Wagner,59.91
Peter Malnati,59.73
James Hahn,59.68
Stuart Appleby,59.67
Martin Piller,59.59
Brandt Snedeker,59.59
Jhonattan Vegas,59.47
Michael Kim,59.37
Steve Wheatcroft,59.25
J.J. Henry,59.17
Wes Roach,59.03
Rory McIlroy,59
Brendan Steele,58.97
Graham DeLaet,58.9
Cameron Tringale,58.86
Kevin Chappell,58.69
Morgan Hoffmann,58.6
Chris Stroud,58.49
Jeff Overton,58.39
Cameron Smith,58.33
Henrik Norlander,58.17
Freddie Jacobson,58.11
Geoff Ogilvy,57.92
Ryan Palmer,57.88
Will Wilcox,57.88
Matt Every,57.78
Matt Jones,57.75
Chad Collins,57.7
Sung Kang,57.65
Sam Saunders,57.63
Nick Taylor,57.61
Adam Scott,57.53
Derek Ernst,57.49
Hiroshi Iwata,57.41
Brooks Koepka,57.4
George McNeill,57.37
Jonas Blixt,57.36
D.H. Lee,57.3
Kelly Kraft,57.19
Harold Varner III,57.1
Angel Cabrera,57.09
Michael Thompson,57.06
Daniel Summerhays,57
Jason Day,56.95
Vijay Singh,56.94
Chesson Hadley,56.93
Jamie Lovemark,56.84
Steve Marino,56.8
Patrick Reed,56.63
Robert Allenby,56.6
Patrick Rodgers,56.43
Retief Goosen,56.33
Brendon Todd,56.32
Martin Laird,56.11
Hunter Mahan,56.02
Jason Kokrak,56.01
John Senden,55.92
Shawn Stefani,55.9
Erik Compton,55.73
Smylie Kaufman,55.63
Anirban Lahiri,55.49
Bronson Burgoon,55.43
Robert Streb,55.43
Charl Schwartzel,55.41
Daniel Berger,55.23
Luke Donald,55.23
Scott Stallings,55.21
Tyler Aldridge,54.92
Harris English,54.71
Dawie van der Walt,54.71
Tom Hoge,54.64
Justin Thomas,54.59
Aaron Baddeley,54.55
Patton Kizzire,54.51
Stewart Cink,54.43
J.B. Holmes,54.39
Dustin Johnson,54.22
Tyrone Van Aswegen,53.88
Luke Guthrie,53.85
Phil Mickelson,53.77
Ernie Els,53.75
Branden Grace,53.64
Bubba Watson,53.56
Andres Gonzales,53.2
Charley Hoffman,53.06
Rob Oppenheim,52.94
Gary Woodland,52.9
Charlie Beljan,52.77
Pat Perez,52.12
Ricky Barnes,52.02
Robert Garrigus,51.61
Rhein Gibson,51.22
Carlos Ortiz,51.07
Tony Finau,51.01
Charles Howell III,50.91
Camilo Villegas,50.61
Derek Fathauer,50.58
Seung-Yul Noh,50.58
Jimmy Walker,50.09
Luke List,49.91
Carl Pettersson,48.83
Jamie Donaldson,48.62
Steven Bowditch,46.84
Andrew Loupe,45.56
