PLAYER,ROUGH TENDENCY
Francesco Molinari,18.49
David Toms,19.61
Chez Reavie,20.49
Jason Bohn,20.81
Jerry Kelly,22.39
Justin Leonard,22.5
Zach Johnson,22.52
Spencer Levin,23.03
Brian Stuard,23.15
Colt Knost,23.18
Cameron Tringale,23.22
Steven Alker,23.28
John Peterson,23.29
Justin Rose,23.3
Roberto Castro,23.35
John Merrick,23.39
Kevin Streelman,23.43
Brendon Todd,23.56
John Huh,23.61
Ryan Moore,23.65
Nicholas Thompson,23.89
Russell Knox,24.07
S.J. Park,24.17
Webb Simpson,24.18
Jason Gore,24.44
William McGirt,24.63
Chris Stroud,24.84
Brian Harman,24.95
Bryce Molder,24.95
Zac Blair,24.98
Brian Davis,25
Danny Lee,25.05
Pat Perez,25.09
Jim Furyk,25.1
Jon Curran,25.31
Robert Allenby,25.32
Adam Hadwin,25.38
Kevin Kisner,25.46
George McNeill,25.55
Henrik Stenson,25.62
Ben Crane,25.66
Sam Saunders,25.75
Ken Duke,25.83
Ian Poulter,25.83
Keegan Bradley,25.85
Jim Herman,25.86
John Senden,25.91
David Lingmerth,25.92
Jordan Spieth,26.13
Jonathan Byrd,26.17
Brendon de Jonge,26.19
Will Wilcox,26.23
Heath Slocum,26.38
Jason Dufner,26.43
Gonzalo Fdez-Castano,26.44
Russell Henley,26.47
Chris Kirk,26.47
Graham DeLaet,26.68
Billy Horschel,26.77
Boo Weekley,26.85
Tim Wilkinson,26.87
Bill Haas,26.88
Mark Hubbard,26.94
Derek Ernst,26.95
Steve Wheatcroft,27.05
Chad Campbell,27.06
Rickie Fowler,27.12
Hideki Matsuyama,27.14
K.J. Choi,27.22
Scott Stallings,27.22
Shawn Stefani,27.29
Lucas Glover,27.3
Hudson Swafford,27.45
Troy Merritt,27.47
Johnson Wagner,27.49
Ben Martin,27.53
Chad Collins,27.66
Matt Kuchar,27.69
Blayne Barber,27.84
Kevin Chappell,27.86
Daniel Berger,27.87
Lee Westwood,27.95
Alex Prugh,27.97
Davis Love III,28.03
Erik Compton,28.04
Billy Hurley III,28.13
Bill Lunde,28.26
Sean O'Hair,28.29
Mark Wilson,28.32
Scott Langley,28.42
Scott Brown,28.5
Alex Cejka,28.55
James Hahn,28.56
David Hearn,28.61
Justin Thomas,28.66
Michael Putnam,28.74
Scott Piercy,28.83
Jamie Donaldson,28.89
Brendan Steele,29.08
Carl Pettersson,29.09
Nick Watney,29.18
Roger Sloan,29.33
Martin Laird,29.35
Brandt Snedeker,29.37
Fabian Gomez,29.45
Scott Pinckney,29.6
Cameron Percy,29.63
Tom Hoge,29.65
Charl Schwartzel,29.65
Oscar Fraustro,29.66
Rory Sabbatini,29.78
Kyle Reifers,29.79
Luke Guthrie,29.85
Louis Oosthuizen,29.95
Kevin Na,29.97
Geoff Ogilvy,30
Daniel Summerhays,30.02
Ryo Ishikawa,30.16
Michael Thompson,30.27
Charlie Beljan,30.46
Jim Renner,30.48
Carlos Ortiz,30.49
Paul Casey,30.51
Jeff Overton,30.52
Andres Romero,30.6
Brice Garnett,30.63
Matt Jones,30.68
Brooks Koepka,30.76
Gary Woodland,30.79
Tyrone Van Aswegen,30.8
Greg Chalmers,30.83
Sergio Garcia,30.91
Andrew Svoboda,30.97
Bo Van Pelt,30.99
Luke Donald,31.04
Harris English,31.04
Chesson Hadley,31.17
Vijay Singh,31.31
J.J. Henry,31.37
Stewart Cink,31.38
Phil Mickelson,31.4
Nick Taylor,31.45
Jhonattan Vegas,31.45
Jonas Blixt,31.46
Robert Streb,31.54
Eric Axley,31.6
Greg Owen,31.65
Andres Gonzales,31.7
Aaron Baddeley,31.75
Charley Hoffman,31.79
Hunter Mahan,31.82
Angel Cabrera,31.91
Jason Kokrak,32
Patrick Rodgers,32.02
Robert Garrigus,32.23
Patrick Reed,32.25
Andrew Putnam,32.29
Adam Scott,32.35
Ernie Els,32.4
Sangmoon Bae,32.47
Morgan Hoffmann,32.67
Whee Kim,32.99
Charles Howell III,33.02
Retief Goosen,33.13
J.B. Holmes,33.33
Byron Smith,33.5
Seung-Yul Noh,33.51
Martin Flores,33.55
Dustin Johnson,33.73
D.A. Points,33.75
Ricky Barnes,33.84
Max Homa,33.92
Ryan Palmer,33.96
Camilo Villegas,34.34
Steven Bowditch,34.62
Tony Finau,34.62
Jason Day,34.85
Matt Every,35.03
Jonathan Randolph,35.73
Jimmy Walker,35.76
Bubba Watson,35.82
Padraig Harrington,35.87
Derek Fathauer,35.95
Marc Leishman,38.9
