PLAYER,GOING FOR THE GREEN %
Dustin Johnson,71.85
Rory McIlroy,68.28
Graham DeLaet,67.7
Robert Garrigus,67.62
J.B. Holmes,67.31
Angel Cabrera,66.15
Charley Hoffman,66.08
Chris Couch,65.74
Brett Wetterich,65.41
Charles Warren,65.33
Martin Laird,64.93
Phil Mickelson,64.84
John Daly,64.24
D.J. Trahan,64.09
Aaron Baddeley,63.88
Bubba Watson,61.69
Nick Watney,61.45
Lucas Glover,61.36
James Driscoll,60.75
Hunter Mahan,60.32
Martin Flores,60.17
Boo Weekley,60.17
Scott Piercy,59.73
Camilo Villegas,59.49
Mathias Gronberg,59.17
Garth Mulroy,59.12
Henrik Bjornstad,58.88
Bo Van Pelt,58.6
Ted Purdy,58.39
Bill Haas,58.27
Retief Goosen,58.24
Kevin Stadler,58.24
Ryan Moore,58.11
Rory Sabbatini,57.95
John Rollins,57.88
Marc Leishman,57.61
Mathew Goggin,57.56
Andres Romero,57.56
Jason Day,57.55
Troy Matteson,57.34
Scott McCarron,57.24
Alex Prugh,56.84
Nicholas Thompson,56.79
Matt Every,56.74
Davis Love III,56.6
John Senden,55.73
Tom Gillis,55.21
Adam Scott,55.17
Cameron Percy,54.95
Matt Bettencourt,54.75
Robert Allenby,54.67
Kevin Streelman,54.67
Ernie Els,54.59
Will MacKenzie,54.58
Daniel Chopra,54.43
Cameron Tringale,54.17
Matt Jones,53.56
Y.E. Yang,53.52
Sean O'Hair,53.47
Sergio Garcia,53.38
Steve Lowery,53.09
Troy Merritt,52.96
Jonathan Byrd,52.92
Paul Casey,52.67
Ryan Palmer,52.53
Michael Letzig,52.31
Jeff Overton,52.26
Stewart Cink,52.05
Vijay Singh,51.81
George McNeill,51.64
Paul Stankowski,51.63
Derek Lamely,51.58
Matt Kuchar,51.47
Jimmy Walker,51.38
Rod Pampling,51.35
Roland Thatcher,51.22
James Nitties,51.2
John Merrick,51.06
Aron Price,50.9
Padraig Harrington,50.62
Jason Dufner,50.61
Jarrod Lyle,50.6
Chris Wilson,50.53
Mark Calcavecchia,50.39
J.J. Henry,50.17
Pat Perez,50
Charles Howell III,49.85
Kris Blanks,49.82
Justin Rose,49.79
Roger Tambellini,49.55
David Lutterus,49.25
Ricky Barnes,49.17
Steve Wheatcroft,49.05
Garrett Willis,48.85
Steve Marino,48.76
Joe Ogilvie,48.55
Josh Teater,48.52
Brendon de Jonge,47.85
Kenny Perry,47.49
Stuart Appleby,47.4
Bill Lunde,47.29
Chris Stroud,47.27
Jeev Milkha Singh,47.24
D.A. Points,47.18
Rickie Fowler,46.91
Chris Tidland,46.9
Ian Poulter,46.55
Greg Owen,46.38
Kevin Sutherland,46.26
Billy Mayfair,46.12
Brenden Pappas,46.04
Kevin Na,45.83
Zach Johnson,45.59
Steve Elkington,45.58
Jeff Gove,45.51
Vaughn Taylor,45.3
Joe Durant,45.08
Tim Herron,44.58
Stephen Ames,44.54
Cameron Beckman,44.5
Brett Quigley,44.24
Johnson Wagner,43.82
John Mallinger,43.61
Woody Austin,43.49
Jerry Kelly,43.14
Andrew McLardy,43.04
Briny Baird,42.8
Chad Campbell,42.76
Chad Collins,42.52
Rich Barcelo,42.5
Geoff Ogilvy,42.35
Ben Crane,42.27
David Toms,41.95
Nathan Green,41.84
Mark Wilson,41.84
Spencer Levin,41.62
David Duval,41.55
Steve Stricker,41.38
K.J. Choi,41.31
Brian Davis,41.28
Tim Petrovic,41.23
Webb Simpson,40.94
Bob Estes,40.83
Jason Bohn,40.73
Jim Furyk,40.48
Blake Adams,40.31
Mike Weir,40.15
Lee Janzen,40.08
Freddie Jacobson,39.55
Brandt Snedeker,39.53
Cliff Kresge,39.24
Charlie Wi,39.03
Alex Cejka,39.02
Brian Stuard,38.8
Chris DiMarco,38.66
Trevor Immelman,38.62
Scott Verplank,38.54
Jeff Maggert,38.07
Greg Chalmers,37.89
Rocco Mediate,37.85
Michael Sim,37.63
Ryuji Imada,37.54
Heath Slocum,37.41
Carl Pettersson,37.29
Steve Flesch,36.71
Chris Riley,36.28
Kevin Johnson,36.21
Shaun Micheel,35.94
J.P. Hayes,35.63
Dean Wilson,35.29
Richard Johnson,34.68
Jerod Turner,34.33
Michael Bradley,33.86
Skip Kendall,33.52
Michael Connell,33.33
Vance Veazey,33.14
Tom Pernice Jr.,33
Jeff Quinney,32.84
Justin Bolli,32.67
Justin Leonard,32.3
Luke Donald,32.09
Jay Williamson,31.73
Ben Curtis,30.53
Bryce Molder,29.92
Paul Goydos,29.37
Greg Kraft,28.15
Brent Delahoussaye,27.61
Tim Clark,26.18
Omar Uresti,25.12
Brian Gay,22.97
Brad Faxon,21.11
Craig Bowden,21.02
