RK,PLAYER,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.
1,Tony Finau,311.4,52.5,1,64.6,1.77,44.9
2,J.B. Holmes,310.2,53.6,2,65.4,1.758,53.1
3,Dustin Johnson,309.1,54.5,3,66.7,1.727,41.9
4,Gary Woodland,308.3,53,4,69.2,1.783,50.7
5,Jason Kokrak,307.1,57,5,66.8,1.787,50.6
6,Bubba Watson,306.7,58.1,6,71.9,1.796,46.7
7,Hudson Swafford,306.5,62.2,7,68.1,1.792,50.5
8,Andrew Loupe,305.5,45,8,63.7,1.719,46.7
9,Jamie Lovemark,305.2,56.2,9,65.7,1.778,51.5
10,Brooks Koepka,305.2,58.9,9,67.9,1.76,55.4
11,Rory McIlroy,305,60.3,11,69.3,1.75,50
12,Luke List,304.8,51.3,12,66.7,1.786,51.6
13,Ryan Palmer,304,57.6,13,67.8,1.741,51.8
14,Brendan Steele,303.7,59.2,14,69.4,1.775,57.1
15,Adam Scott,303.5,57,15,69.6,1.739,50
16,Jhonattan Vegas,302.8,58.3,16,69.9,1.786,46.8
17,Charles Howell III,302.8,52.2,16,68.1,1.749,52.6
18,Justin Rose,302.6,61.4,18,71.1,1.753,63.5
19,Robert Garrigus,302.1,51.4,19,68,1.8,38
20,Charlie Beljan,301.8,51.4,20,60.9,1.905,30.2
21,"Harold Varner, III",301.5,57.7,21,66,1.788,37.3
22,Jason Day,300.8,56.8,22,68,1.728,59.6
23,Jimmy Walker,300.5,50.5,23,64.9,1.759,46
24,Patrick Rodgers,300.4,57.9,24,70.6,1.801,47.8
25,Sean O'Hair,299.8,59.3,25,66.4,1.752,63.8
26,Sergio Garcia,298.8,60,26,71.9,1.768,52.8
27,Daniel Berger,298.6,56.5,27,66.7,1.755,49
28,Justin Thomas,298.6,55.8,27,66.6,1.784,55.4
29,Rickie Fowler,297.9,61.9,29,71.4,1.742,52.7
30,Greg Owen,297.6,60.7,30,69.8,1.814,37.5
31,Smylie Kaufman,297.4,55.9,31,67.6,1.751,58.1
32,Lucas Glover,297.3,64.4,32,71.5,1.782,41.5
33,Carlos Ortiz,297.3,50.6,32,64.2,1.747,37.7
34,Martin Laird,297.3,54.7,32,65.8,1.769,53.8
35,Scott Piercy,296.9,60.4,35,68.4,1.778,51.6
36,Graham DeLaet,296.7,59.2,36,69,1.76,41.2
37,Keegan Bradley,296.7,64.5,36,68.5,1.807,32.4
38,Harris English,296.2,55.8,38,65.8,1.77,47.5
39,Charley Hoffman,296.1,54,39,64.4,1.755,51
40,Russell Henley,296,64.6,40,66.8,1.763,55.7
41,Scott Pinckney,295.8,62.4,41,69,1.812,35.2
42,Marc Leishman,295.6,62.1,42,65.5,1.731,53.2
43,Louis Oosthuizen,295.1,63.6,43,69,1.796,48.1
44,Angel Cabrera,295.1,56.5,43,62,1.799,41
45,Phil Mickelson,295,53.9,45,65.4,1.715,56
46,Nick Taylor,294.8,57.2,46,65.3,1.753,44.7
47,Matt Jones,294.6,57.7,47,63.9,1.774,45.2
48,Derek Ernst,294.3,58.4,48,65.9,1.823,45.3
49,Jordan Spieth,294,61.4,49,65.6,1.684,56.9
50,Chesson Hadley,294,57.4,49,64.6,1.796,44.4
51,Paul Casey,293.7,63.4,51,69.9,1.793,54.2
52,Patrick Reed,293.6,59.1,52,62.6,1.766,58
53,Seung-yul Noh,293.6,49.2,52,65,1.754,49.5
54,Kevin Chappell,293.5,61,54,67.7,1.763,44.1
55,Scott Stallings,293.4,54.4,55,64.6,1.772,38
56,Shane Lowry,293.3,64,56,64.4,1.794,52.3
57,Will Wilcox,293.2,59.3,57,62.7,1.762,45.6
58,Brett Stegmaier,293.2,62.8,57,66.2,1.803,41
59,Stewart Cink,292.9,58.8,59,70,1.807,38.7
60,Robert Streb,292.8,56.6,60,65.2,1.815,43.4
61,Charl Schwartzel,292.6,55.1,61,69.6,1.791,52.5
62,Branden Grace,292.5,55.9,62,68.1,1.765,58.3
63,Hideki Matsuyama,292,61,63,70.1,1.72,42.4
64,Hunter Mahan,291.9,57.9,64,62.6,1.77,56.8
65,Rhein Gibson,291.9,52.4,64,66.9,1.826,48.9
66,Henrik Stenson,291.7,69.4,66,70.5,1.781,52.6
67,Si Woo Kim,291.7,65.2,66,64.2,1.773,48.4
68,Wes Roach,291.7,61.3,66,64.3,1.771,44.4
69,Emiliano Grillo,291.7,70.3,66,68.7,1.783,38.6
70,Ernie Els,291.2,53.8,70,59.6,1.769,44.6
71,Morgan Hoffmann,291.2,58.2,70,62.6,1.774,53.1
72,Michael Thompson,291.2,58.5,70,64.8,1.751,48.5
73,James Hahn,291,59.8,73,65,1.771,45.2
74,Brandt Snedeker,291,60,73,66.4,1.748,54.2
75,Andres Gonzales,290.9,52,75,63.4,1.789,47.6
76,Billy Horschel,290.9,61.6,75,66.9,1.765,50
77,Scott Brown,290.8,61.6,77,64.8,1.777,51.6
78,Bronson Burgoon,290.8,56.9,77,66,1.799,45.8
79,Shawn Stefani,290.8,56,77,64.7,1.828,52.2
80,Jim Herman,290.7,67.5,80,66.8,1.794,50
81,Boo Weekley,290.5,66.1,81,67,1.778,38.1
82,Aaron Baddeley,290.5,53,81,61.9,1.721,57.5
83,Davis Love III,290.5,68.2,81,64.4,1.799,48.1
84,Sam Saunders,290.3,59.5,84,63.5,1.806,49.4
85,Fabian Gomez,290.2,62.3,85,66.4,1.774,50
86,Sung-hoon Kang,289.6,58.1,86,63.9,1.77,51.4
87,Pat Perez,289.5,57,87,66.3,1.772,53.2
88,Anirban Lahiri,289.2,58.2,88,63.3,1.728,45.3
89,Jason Dufner,289.1,63.5,89,70.4,1.765,48.5
90,John Senden,289.1,56.8,89,66.9,1.767,45
91,Ricky Barnes,288.9,51.7,91,65.8,1.742,49.5
92,Jonas Blixt,288.9,56.9,91,61.2,1.732,63.6
93,Patton Kizzire,288.7,53.3,93,65.1,1.757,48.6
94,Rory Sabbatini,288.7,62.2,93,63.2,1.78,51.6
95,Geoff Ogilvy,288.7,58.7,93,61.4,1.805,45.6
96,Tom Hoge,288.6,57.5,96,63.4,1.753,57.7
97,Tyrone van Aswegen,288.6,52.8,96,64.7,1.778,58.3
98,Steven Bowditch,288.5,46.9,98,58.3,1.772,57.3
99,Andrew Landry,288.4,66,99,64.4,1.802,43.4
100,Francesco Molinari,288.1,60.9,100,63.2,1.774,49.2
101,Luke Guthrie,288.1,55.8,100,64.1,1.743,44.9
102,Kevin Streelman,287.9,63.7,102,68.8,1.78,41.9
103,Vijay Singh,287.9,57.6,102,62.4,1.79,44.8
104,Adam Hadwin,287.7,62.8,104,65.9,1.732,51.4
105,Thomas Aiken,287.7,74.5,104,70.6,1.828,41.7
106,Steve Marino,287.7,56.1,104,64.9,1.793,50.6
107,Brian Harman,287.7,62.4,104,63.7,1.758,53.2
108,Retief Goosen,287.6,55.4,108,62.6,1.734,53.4
109,Webb Simpson,287.5,62.5,109,64.6,1.76,56.8
110,Kyle Reifers,287.4,64.9,110,68.5,1.745,54.1
111,Daniel Summerhays,287.4,59.2,110,63.7,1.729,50.4
112,Dawie Van Der Walt,287.3,56.1,112,66.7,1.768,37.9
113,Bernd Wiesberger,287.2,62.8,113,69.9,1.811,45.5
114,Padraig Harrington,287.1,61.5,114,63.8,1.78,58.6
115,Kyle Stanley,287.1,63.2,114,65.2,1.76,42.3
116,Martin Piller,286.8,59.9,116,66,1.773,56.5
117,Troy Merritt,286.7,63.6,117,63.8,1.728,53.8
118,Jason Gore,286.7,64.4,117,67.5,1.763,44.8
119,Ben Martin,286.5,61.5,119,66,1.754,41.7
120,Brendon de Jonge,286.5,59.7,119,66.8,1.8,54.3
121,Johnson Wagner,286.1,61,121,69.1,1.789,47.6
122,Hiroshi Iwata,286,57.9,122,58.9,1.763,57.6
123,Derek Fathauer,286,51.8,122,61.5,1.748,46.1
124,Camilo Villegas,286,51.8,122,62.8,1.793,43.3
