PLAYER,BOUNCE BACK
Hideki Matsuyama,31.68
Jason Day,29.73
Sergio Garcia,29.41
Tim Wilkinson,28.18
Jason Bohn,27.27
Rickie Fowler,27.16
Ben Martin,25.81
Paul Casey,25.77
Russell Henley,25.74
Adam Scott,25.66
Harold Varner III,25.65
Brooks Koepka,25.64
Bubba Watson,25.64
Charley Hoffman,25.32
Phil Mickelson,25.32
Jordan Spieth,25.26
Billy Horschel,25
Scott Pinckney,24.86
Ryan Palmer,24.68
Aaron Baddeley,24.67
Jhonattan Vegas,24.67
Whee Kim,24.55
J.B. Holmes,24.49
Kevin Kisner,24.46
Andrew Landry,24.32
Gary Woodland,24.29
Jamie Lovemark,24.14
Wes Roach,23.81
Freddie Jacobson,23.64
Sean O'Hair,23.49
Thomas Aiken,23.28
Kelly Kraft,23.21
Brice Garnett,23.17
David Toms,23.15
Rory Sabbatini,22.9
Brendan Steele,22.79
John Senden,22.67
Steve Stricker,22.67
Jonas Blixt,22.5
Sam Saunders,22.48
Adam Hadwin,22.41
Ernie Els,22.38
Graham DeLaet,22.29
Daniel Summerhays,22.22
Robert Garrigus,22.12
Vaughn Taylor,22.12
David Lingmerth,22.07
Roberto Castro,21.99
Justin Rose,21.98
Daniel Berger,21.97
Charles Howell III,21.94
Greg Owen,21.94
Anirban Lahiri,21.92
Davis Love III,21.9
Henrik Stenson,21.84
John Huh,21.74
Abraham Ancer,21.7
Chesson Hadley,21.67
Will Wilcox,21.64
Kyle Reifers,21.63
Martin Laird,21.53
Jamie Donaldson,21.52
Charl Schwartzel,21.52
Tyler Aldridge,21.43
Graeme McDowell,21.43
James Hahn,21.29
Cameron Tringale,21.29
Luke List,21.23
Boo Weekley,21.23
Retief Goosen,21.15
Patrick Reed,21.14
Harris English,21.08
Patton Kizzire,21.02
Scott Stallings,20.95
Ricky Barnes,20.81
Andrew Loupe,20.79
Kyle Stanley,20.74
Rory McIlroy,20.69
Hudson Swafford,20.67
Sung Kang,20.65
Padraig Harrington,20.54
Stuart Appleby,20.51
Tyrone Van Aswegen,20.48
Danny Lee,20.47
Nick Taylor,20.47
Ryan Moore,20.41
Mark Hubbard,20.28
Louis Oosthuizen,20.25
Brendon de Jonge,20.24
Emiliano Grillo,20.14
Patrick Rodgers,20.14
Pat Perez,20
Martin Piller,20
Michael Thompson,20
Dawie van der Walt,20
Erik Compton,19.88
Matt Jones,19.87
Scott Langley,19.83
Tony Finau,19.62
Steve Marino,19.58
Jon Curran,19.55
Andres Gonzales,19.51
Chris Kirk,19.51
Dustin Johnson,19.42
Shane Lowry,19.33
Spencer Levin,19.28
Stewart Cink,19.23
Branden Grace,19.23
Justin Thomas,19.21
Derek Fathauer,19.17
Zac Blair,19.16
Luke Guthrie,19.15
Jim Herman,19.05
Webb Simpson,19.05
Russell Knox,19
Blayne Barber,18.99
Tom Hoge,18.92
Scott Piercy,18.92
Alex Cejka,18.9
Francesco Molinari,18.87
Robert Streb,18.79
Michael Kim,18.78
Kevin Chappell,18.71
Chez Reavie,18.49
Shane Bertsch,18.42
Chad Collins,18.35
Will MacKenzie,18.29
Jimmy Walker,18.24
Ken Duke,18.18
Jason Gore,18.13
Brett Stegmaier,18.08
Bryce Molder,17.99
Colt Knost,17.9
Bronson Burgoon,17.83
Matt Every,17.83
Carlos Ortiz,17.82
Luke Donald,17.7
Bill Haas,17.7
Dicky Pride,17.7
Rob Oppenheim,17.5
Jason Dufner,17.47
Jeff Overton,17.42
Billy Hurley III,17.39
Peter Malnati,17.26
Brandt Snedeker,17.24
Brian Stuard,17.19
Ben Crane,17.09
Lucas Glover,17.07
Hunter Mahan,16.99
Henrik Norlander,16.95
Seung-Yul Noh,16.76
Brian Harman,16.75
Angel Cabrera,16.67
Justin Hicks,16.67
William McGirt,16.67
Johnson Wagner,16.67
Vijay Singh,16.56
Brendon Todd,16.56
Cameron Smith,16.55
Zach Johnson,16.54
Derek Ernst,16.52
Fabian Gomez,16.43
K.J. Choi,16.39
Steve Wheatcroft,16.29
Marc Leishman,16.22
Darron Stiles,16.22
Robert Allenby,16.18
Smylie Kaufman,16.13
Kevin Streelman,16.11
Matt Kuchar,16
Justin Leonard,16
Rhein Gibson,15.97
Keegan Bradley,15.94
Steven Bowditch,15.93
Scott Brown,15.85
Ian Poulter,15.79
Hiroshi Iwata,15.76
Shawn Stefani,15.72
Jerry Kelly,15.7
D.A. Points,15.6
Troy Merritt,15.56
J.J. Henry,15.53
Chris Stroud,15.34
Morgan Hoffmann,15.28
Jason Kokrak,15.28
Chad Campbell,15.09
Camilo Villegas,15.03
Carl Pettersson,14.52
Charlie Beljan,14.42
Mark Wilson,13.64
David Hearn,13.33
Si Woo Kim,13.29
D.H. Lee,12.5
Tim Herron,12.36
George McNeill,12.2
Kevin Na,12.12
Bernd Wiesberger,11.76
Geoff Ogilvy,11.19
Andy Sullivan,8.43
