PLAYER,prox to hole
Tim Clark,30.3
Jay Williamson,30.9
Joe Durant,31.7
Cliff Kresge,32
Omar Uresti,32.2
K.J. Choi,32.4
Brendon de Jonge,32.6
Steve Stricker,32.6
Chad Campbell,32.8
David Toms,32.8
Rickie Fowler,32.9
Heath Slocum,32.9
Brian Gay,32.1
Dean Wilson,32.11
Rocco Mediate,33
Kenny Perry,33
Spencer Levin,33.1
Tom Pernice Jr.,33.1
Jeff Quinney,33.2
Alex Cejka,33.3
Ben Crane,33.3
Boo Weekley,33.3
Paul Goydos,33.4
Davis Love III,33.4
Luke Donald,33.6
John Mallinger,33.6
Briny Baird,33.7
Robert Garrigus,33.8
Geoff Ogilvy,33.8
Pat Perez,33.8
Jason Bohn,33.9
Brent Delahoussaye,33.9
Jim Furyk,33.9
Justin Rose,33.9
Bob Estes,33.1
Phil Mickelson,33.1
Brandt Snedeker,33.1
Charles Warren,33.1
Woody Austin,33.11
Cameron Beckman,34
Michael Connell,34
Billy Mayfair,34
Vijay Singh,34
Richard Johnson,34.1
Troy Matteson,34.1
Kevin Na,34.1
Chris Riley,34.1
Adam Scott,34.1
John Senden,34.1
Kris Blanks,34.2
Michael Bradley,34.2
Justin Leonard,34.2
Vaughn Taylor,34.2
Scott Verplank,34.2
Freddie Jacobson,34.3
Carl Pettersson,34.3
Webb Simpson,34.3
Paul Stankowski,34.3
Brett Wetterich,34.3
Ricky Barnes,34.4
David Duval,34.4
Trevor Immelman,34.4
Michael Letzig,34.4
Cameron Percy,34.4
Aron Price,34.4
Nick Watney,34.4
Graham DeLaet,34.5
Chris DiMarco,34.5
Bill Haas,34.5
Zach Johnson,34.5
Marc Leishman,34.5
Jeff Maggert,34.5
D.J. Trahan,34.5
Jonathan Byrd,34.6
Jerry Kelly,34.6
Chris Stroud,34.6
Y.E. Yang,34.6
Paul Casey,34.7
Jason Dufner,34.7
Charley Hoffman,34.7
Kevin Streelman,34.7
Camilo Villegas,34.7
Ben Curtis,34.8
Lee Janzen,34.8
Will MacKenzie,34.8
Charlie Wi,34.8
Justin Bolli,34.9
Brian Davis,34.9
Sergio Garcia,34.9
Tom Gillis,34.9
Jeff Gove,34.9
Padraig Harrington,34.9
Matt Kuchar,34.9
John Merrick,34.9
Ryan Moore,34.9
Garth Mulroy,34.9
Greg Owen,34.9
Roland Thatcher,34.9
Stephen Ames,34.1
Andrew McLardy,34.1
Tim Petrovic,34.1
Brett Quigley,34.1
Bo Van Pelt,34.1
Johnson Wagner,34.1
Craig Bowden,34.11
Mark Calcavecchia,34.11
J.P. Hayes,34.11
Ryan Palmer,34.11
Jeev Milkha Singh,34.11
Josh Teater,34.11
Greg Chalmers,35
John Daly,35
Brian Stuard,35
Retief Goosen,35.1
Martin Laird,35.1
Brenden Pappas,35.2
Sean O'Hair,35.3
Matt Every,35.4
Steve Flesch,35.4
Bryce Molder,35.4
Kevin Stadler,35.4
James Nitties,35.5
Jeff Overton,35.5
D.A. Points,35.5
Kevin Sutherland,35.5
Mike Weir,35.5
Garrett Willis,35.5
Stewart Cink,35.6
Lucas Glover,35.6
Bill Lunde,35.6
Rory McIlroy,35.6
Shaun Micheel,35.6
Roger Tambellini,35.6
Robert Allenby,35.7
Alex Prugh,35.7
Cameron Tringale,35.7
Stuart Appleby,35.9
Hunter Mahan,35.9
Michael Sim,35.9
Steve Elkington,35.11
Jimmy Walker,35.11
Bubba Watson,35.11
Steve Wheatcroft,35.11
Troy Merritt,36
Henrik Bjornstad,36.1
Chris Couch,36.1
Blake Adams,36.2
Rich Barcelo,36.2
Ernie Els,36.2
Mathew Goggin,36.2
Tim Herron,36.2
Greg Kraft,36.2
Steve Marino,36.2
Andres Romero,36.2
Mark Wilson,36.2
Mathias Gronberg,36.3
J.J. Henry,36.3
Dustin Johnson,36.3
Vance Veazey,36.3
Brad Faxon,36.5
Charles Howell III,36.5
Jarrod Lyle,36.5
George McNeill,36.5
Rory Sabbatini,36.5
Steve Lowery,36.6
Joe Ogilvie,36.6
Chad Collins,36.7
John Rollins,36.7
Nicholas Thompson,36.7
Chris Wilson,36.7
Ryuji Imada,36.8
Matt Bettencourt,36.9
Skip Kendall,36.9
Jason Day,36.1
Scott Piercy,37
Chris Tidland,37
Rod Pampling,37.1
Kevin Johnson,37.2
Nathan Green,37.3
David Lutterus,37.3
Ian Poulter,37.4
Matt Jones,37.8
Aaron Baddeley,37.9
Scott McCarron,37.9
Angel Cabrera,37.11
Derek Lamely,38
James Driscoll,38.1
J.B. Holmes,38.1
Daniel Chopra,38.2
Ted Purdy,38.2
Jerod Turner,38.3
Martin Flores,38.4
