PLAYER,ROUGH TENDENCY
Colt Knost,19.52
Zac Blair,20.11
Andrew Landry,20.95
Davis Love III,21.02
Jerry Kelly,21.08
Thomas Aiken,21.19
Billy Hurley III,22.34
Darron Stiles,22.62
Justin Hicks,22.68
Jason Bohn,22.75
Russell Knox,22.78
Henrik Stenson,22.91
Graeme McDowell,23.02
David Lingmerth,23.18
Emiliano Grillo,23.22
Roberto Castro,23.64
Shane Lowry,23.65
Zach Johnson,23.93
Brian Stuard,23.93
Danny Lee,23.95
Kyle Reifers,24.1
Chez Reavie,24.23
Bernd Wiesberger,24.32
Lucas Glover,24.47
Boo Weekley,24.47
Dicky Pride,24.5
William McGirt,24.62
Russell Henley,24.65
Vaughn Taylor,24.65
Justin Leonard,24.67
John Huh,24.68
Chad Campbell,24.8
Bill Haas,24.85
Brice Garnett,25
Si Woo Kim,25.06
Kevin Kisner,25.36
David Toms,25.66
Keegan Bradley,25.77
Jim Herman,25.77
Rickie Fowler,25.79
K.J. Choi,25.82
Mark Hubbard,25.83
Mark Wilson,25.88
Jon Curran,25.93
Matt Every,25.94
Kyle Stanley,26.04
Matt Kuchar,26.09
David Hearn,26.12
Ryan Moore,26.37
Geoff Ogilvy,26.47
Ken Duke,26.55
Alex Cejka,26.64
Ian Poulter,26.64
Spencer Levin,26.66
D.A. Points,26.75
Billy Horschel,26.79
Ben Crane,26.84
Andy Sullivan,26.91
Blayne Barber,27.12
Jordan Spieth,27.21
Jason Dufner,27.27
Kevin Na,27.36
Sergio Garcia,27.4
Hudson Swafford,27.41
Chesson Hadley,27.56
Kevin Streelman,27.63
Scott Brown,27.75
Fabian Gomez,27.84
Jason Gore,27.93
Louis Oosthuizen,27.94
Sean O'Hair,27.99
Paul Casey,28
Brian Harman,28.09
Cameron Smith,28.13
Adam Hadwin,28.17
Will MacKenzie,28.29
Ryan Palmer,28.31
Abraham Ancer,28.32
Chris Kirk,28.34
Marc Leishman,28.36
Troy Merritt,28.4
Steve Wheatcroft,28.42
Brandt Snedeker,28.52
Rory Sabbatini,28.57
Jason Day,28.61
Webb Simpson,28.76
Morgan Hoffmann,28.84
Tim Herron,28.85
Bryce Molder,28.85
Wes Roach,28.94
Scott Piercy,28.95
Jeff Overton,28.99
Johnson Wagner,29.02
Francesco Molinari,29.04
Greg Owen,29.05
Rory McIlroy,29.09
James Hahn,29.12
Padraig Harrington,29.21
Shane Bertsch,29.32
Justin Thomas,29.33
Brendan Steele,29.4
Michael Kim,29.49
Scott Langley,29.57
Robert Streb,29.65
Adam Scott,29.66
Brooks Koepka,29.8
Martin Piller,29.8
Whee Kim,30.02
Will Wilcox,30.04
George McNeill,30.16
Cameron Tringale,30.18
Peter Malnati,30.31
Stuart Appleby,30.38
Erik Compton,30.38
Steve Stricker,30.41
Tim Wilkinson,30.44
Branden Grace,30.46
Graham DeLaet,30.55
Chris Stroud,30.56
Brendon de Jonge,30.61
Scott Pinckney,30.71
Henrik Norlander,30.77
Kevin Chappell,30.83
Patrick Rodgers,30.87
Nick Taylor,30.89
Retief Goosen,31.02
Shawn Stefani,31.02
Hiroshi Iwata,31.03
Brendon Todd,31.05
Brett Stegmaier,31.13
Matt Jones,31.21
Bronson Burgoon,31.25
Patrick Reed,31.25
Michael Thompson,31.29
Sam Saunders,31.32
Ben Martin,31.42
Jhonattan Vegas,31.46
Chad Collins,31.48
Angel Cabrera,31.54
J.J. Henry,31.58
Hideki Matsuyama,31.58
Jason Kokrak,31.8
Daniel Summerhays,31.82
Anirban Lahiri,31.86
Justin Rose,31.93
Vijay Singh,31.94
Sung Kang,31.99
Robert Allenby,32.08
Hunter Mahan,32.16
Phil Mickelson,32.16
Martin Laird,32.19
Charl Schwartzel,32.19
Bubba Watson,32.2
Dawie van der Walt,32.26
Jamie Lovemark,32.31
Harold Varner III,32.38
Jonas Blixt,32.39
Steve Marino,32.68
Freddie Jacobson,32.74
Harris English,33.06
Gary Woodland,33.11
J.B. Holmes,33.17
Daniel Berger,33.21
Kelly Kraft,33.23
Smylie Kaufman,33.28
Tom Hoge,33.39
Ernie Els,33.4
Luke Guthrie,33.43
Charley Hoffman,33.44
Derek Ernst,33.53
Patton Kizzire,33.58
Stewart Cink,33.61
Aaron Baddeley,33.67
Dustin Johnson,33.76
Tyler Aldridge,34
John Senden,34.03
D.H. Lee,34.16
Tyrone Van Aswegen,34.22
Scott Stallings,34.55
Seung-Yul Noh,34.94
Andres Gonzales,35.1
Ricky Barnes,35.18
Robert Garrigus,35.22
Camilo Villegas,35.3
Tony Finau,35.5
Luke Donald,35.56
Carlos Ortiz,35.87
Pat Perez,36.02
Luke List,36.27
Jimmy Walker,36.27
Rhein Gibson,36.34
Steven Bowditch,36.36
Charles Howell III,36.46
Derek Fathauer,36.48
Charlie Beljan,36.6
Rob Oppenheim,36.76
Jamie Donaldson,37.24
Carl Pettersson,38.81
Andrew Loupe,39.74
